multiplex	node	score
1	RPA1	0.002689948209471958
1	PCNA	0.0025482975431899537
1	RPA2	0.0024917610092721663
1	RPA3	0.002405160439110317
1	XRCC1	0.0023322837123574136
1	NBN	0.002276743818230707
1	POLB	0.002274624226757636
1	MSH2	0.0022562110229965905
1	ERCC1	0.0022532289155304183
1	LIG3	0.0022374799278129963
1	BRCA1	0.002217191425889664
1	RAD1	0.0022144838627179133
1	USP46	0.0022061369314744063
1	MRE11	0.002203062028068469
1	POLA1	0.00219911153097111
1	XRCC4	0.002191438022797744
1	MLH1	0.0021810864703348956
1	POLE3	0.0021799840486147444
1	APLF	0.002178603198418864
1	HUS1	0.0021762361317357024
1	OGG1	0.00217466577998306
1	POLD2	0.002172607957903737
1	PRIM1	0.002164793038495046
1	WDR48	0.002162983103941997
1	WDR20	0.0021626113385751645
1	RAD50	0.0021619895982561152
1	XRCC5	0.0021601337518025723
1	PRIM2	0.0021596146496942977
1	RMI1	0.0021592747617774936
1	XRCC6	0.002158621886235547
1	POLD1	0.002152539821079871
1	PHLPP2	0.002143990833910812
1	HUS1B	0.002143937162645157
1	POLE4	0.0021368766311659305
1	POLD4	0.002134584466669397
1	BLM	0.002132394707119175
1	FANCD2	0.0021321335358473483
1	ERCC4	0.0021309529309574307
1	POLD3	0.0021265354528128976
1	AKT1	0.002126356819807427
1	NEIL1	0.0021261791401309205
1	POLE	0.0021252835255353405
1	APTX	0.0021201140312399544
1	POLA2	0.002117911887872395
1	PNKP	0.002117445471451598
1	PARP1	0.0021154489107376925
1	CHRAC1	0.0021150065220125374
1	TDP1	0.0021135270989982827
1	LENG1	0.002109186868945807
1	RMI2	0.0021089950172702467
1	RAD51	0.002107000772547255
1	USP1	0.0021008564048169455
1	LIG4	0.0021003633486793983
1	ATM	0.0020986977141594534
1	USP45	0.0020975164304692043
1	MSH3	0.0020971461107828545
1	MSH6	0.002096019512091662
1	FANCI	0.0020935269163458105
1	TOP3A	0.002092234614176861
1	PHLPP1	0.0020917375965443744
1	POLE2	0.002089151860483278
1	LIG1	0.0020889504361433814
1	RAD9A	0.00208735475213784
1	NHEJ1	0.0020847192452587986
1	RAD51AP1	0.0020812711610695483
1	RBBP8	0.002077732302907917
1	APEX1	0.00207484371522343
1	EXO1	0.0020695351416604815
1	ERCC2	0.0020677058347009715
1	BARD1	0.002066626946010692
1	CDK2	0.0020624398874211553
1	FEN1	0.0020610513175804987
1	RAD52	0.0020512251134334595
1	ATR	0.0020480916416299655
1	RAD9B	0.0020384180838090788
1	PMS2	0.002031061447999582
1	KAT5	0.0020254465866565803
1	MDC1	0.0020215254575798314
1	XPA	0.0020211305791869804
1	CDK7	0.0020105393432648297
1	USP12	0.00200757294539689
1	CCNH	0.0020067622813979154
1	ERCC5	0.0020058053290325575
1	WRN	0.002005458301751381
1	BRCA2	0.002003850996866761
1	CDKN1A	0.002002404280541335
1	BRIP1	0.001998242151911445
1	AR	0.001994345130749296
1	TP53	0.001981907552214121
1	PRKDC	0.0019785976566464897
1	CCND1	0.0019728198975302253
1	PAXIP1	0.001971147856107722
1	CDK6	0.0019709929766759194
1	RNF8	0.0019703878023445004
1	TP53BP1	0.0019681176946107007
1	CDK4	0.0019673100526397713
1	MNAT1	0.0019614454379966546
1	H2AX	0.0019560475929348135
1	RPA4	0.0019509973420720316
1	KDM1A	0.0019071619784694332
1	ERCC3	0.0019034789887745329
1	HLTF	0.0018815389666734898
1	ATRIP	0.0018713379558870048
1	CCND2	4.996681380001071e-05
1	CCND3	4.707083284367966e-05
1	CDKN1B	3.657630690661028e-05
1	CDKN2D	2.813028417944688e-05
1	CDK1	2.722639376409668e-05
1	CDKN2C	2.512232791387526e-05
1	CDKN2B	2.4760229511830365e-05
1	CCNB1	2.4704647072904328e-05
1	XRCC2	2.2014229099377425e-05
1	RBL2	2.1704465694037397e-05
1	H3C15	2.1316426943944236e-05
1	DCLRE1C	2.064760132164945e-05
1	FKBPL	2.0116495802996053e-05
1	TOPBP1	2.0087200985317645e-05
1	UIMC1	1.9981486819046078e-05
1	IFFO1	1.9344837433773693e-05
1	FANCE	1.908941059570409e-05
1	RBL1	1.902720216147734e-05
1	RAD51D	1.867688919957175e-05
1	DMWD	1.8478956529592256e-05
1	PALB2	1.8233385812069805e-05
1	ABRAXAS1	1.804451533224301e-05
1	EP300	1.789265614803709e-05
1	TERF2	1.7760740682393622e-05
1	ESR1	1.7713609973548425e-05
1	HDAC1	1.7649348543673083e-05
1	ABL1	1.759866606682368e-05
1	FANCG	1.723851242632493e-05
1	GOLGA1	1.7232857697466503e-05
1	POLH	1.656657629134052e-05
1	CCNE1	1.6552122581733216e-05
1	PDXK	1.6252905201386327e-05
1	CCNE2	1.6229421976123857e-05
1	UBE2N	1.6180955581557677e-05
1	SUMO1	1.610905568699889e-05
1	MCM2	1.5015960053423957e-05
1	RBMS1	1.4509573292499882e-05
1	POLL	1.4280314607984193e-05
1	REV1	1.4278771185064451e-05
1	HDAC2	1.4128881966169201e-05
1	POLM	1.389838306563023e-05
1	UBE2I	1.3690866644822132e-05
1	MLH3	1.34800599890001e-05
1	FANCC	1.3376882747321443e-05
1	CREBBP	1.3356306585745093e-05
1	ZBTB14	1.3122468902367386e-05
1	DMC1	1.3024063726682029e-05
1	DDB1	1.292246436398574e-05
1	GTF2H5	1.2903142528738007e-05
1	SKP2	1.2815165936307792e-05
1	UBE2L3	1.2787407386730119e-05
1	TOP1	1.2752208923914048e-05
1	GTF2B	1.273177581330749e-05
1	NSD2	1.2586199134866018e-05
1	RB1	1.2480338501578668e-05
1	GTF2E2	1.2416799754399532e-05
1	E2F1	1.2349901068609416e-05
1	DNA2	1.2123731574697167e-05
1	CKS1B	1.1930686608544833e-05
1	UBE2W	1.1885039169830842e-05
1	FAN1	1.1874593051885817e-05
1	COPS5	1.1792996123160952e-05
1	HSP90AA1	1.1779837816002972e-05
1	H3-4	1.165394851844407e-05
1	XRCC3	1.1588521548167624e-05
1	CDC45	1.152923847646911e-05
1	NEIL2	1.1429294415463248e-05
