Cluster	GenAge	Blood up-reg. genes	Blood down-reg. genes	Skin up-reg. genes	Skin down-reg. genes	Brain up-reg. genes	Brain down-reg. genes	Muscle up-reg. genes	Muscle down-reg. genes	Breast up-reg. genes	Breast down-reg. genes	Blood down)reg. genes
cluster_1	4.972388812937156e-06	0.6552935925653929		0.9997837461014814	0.6662436988337856	0.9289205830130726	0.27413710745677616	0.3655368105943389	0.3397063400899272	0.8873246609402379	0.12219539535417233	1.0
cluster_2	4.737889865698061e-11	0.03372001924189707		0.8591195952708995	0.9645649563390314	0.34122114044335694	0.047174505642037144	0.0003438273413659463	0.13478138235329146	0.8576817812091986	0.0019342129460360653	0.5203295899722268
cluster_3	3.205081607353072e-11	0.7252341187813038		0.3968613446087774	0.7684807494827182	0.05242933812771899	0.6234908428114363	0.003426908535955094	0.2854664043922446	0.8681964764178877	0.0027556029410119184	0.8259153565429833
cluster_4	1.0495891485639113e-05	0.46837571862758653		0.3626208043674659	0.3788529640950222	1.1575142809459199e-06	0.7942231429414668	0.42165267338386964	0.8294029424511569	0.3594903946693908	0.141095337194193	0.7900934527858222
cluster_5	0.013853296576737045	0.16254420487081797		0.0014701303581193155	0.7852831653864256	4.0141787475167373e-07	0.17779124493748777	0.5469464522197465	0.5427634236923817	0.6984211743154729	0.14148437478490913	0.8972670279098742
cluster_6	0.5616655333996392	1.0		0.14604700248352323	0.19460329008502433	0.09149956406620655	0.006136640986151898	0.1154975146462216	0.12370702644279331	0.844851178606089	0.3712422175062894	0.23683535200060957
