Cluster,GenAge,Blood up-reg. genes,Blood down-reg. genes,Skin up-reg. genes,Skin down-reg. genes,Brain up-reg. genes,Brain down-reg. genes,Muscle up-reg. genes,Muscle down-reg. genes,Breast up-reg. genes,Breast down-reg. genes
cluster_1,3.422306665758566e-14,0.9991890563096508,0.9991890563096508,0.9991890563096508,0.9991890563096508,0.9991890563096508,0.7635812887531153,0.8272157396338109,0.6419361037904129,0.9991890563096508,0.30051540362815343
cluster_2,1.141201564909508e-10,0.07418404233217356,0.7229087645723447,0.9517663104638051,0.9648073356514749,0.32240360737840984,0.056500645960575885,0.0020985468272202547,0.2499759359163403,0.8272949316965402,0.0074458434980777645
cluster_3,1.5327902260625008e-10,0.8770336411145865,0.8770336411145865,0.7560151064777328,0.8770336411145865,0.15145331090713454,0.7665725259046312,0.007191675938146623,0.6348148090208418,0.8770336411145865,0.010726991657896139
cluster_4,0.00011756949792589382,0.6440166131129315,0.8307591492569487,0.6440166131129315,0.6440166131129315,1.408360375850521e-05,0.8307591492569487,0.6440166131129315,0.8307591492569487,0.6440166131129315,0.5278043277581431
cluster_5,0.007922432704229937,0.2956800369304033,0.7768269872074115,0.00048597389133953105,0.7768269872074115,1.8435296626847923e-06,0.2698833530533008,0.2956800369304033,0.6687405997825399,0.48076350116240013,0.22378032256993152
cluster_6,0.7207397898771176,1.0,0.37929280777180197,0.3368513759096645,0.35861843069400345,0.3368513759096645,0.06935713905403341,0.3368513759096645,0.3368513759096645,0.7207397898771176,0.5168341347461894
