Cluster	Fisher test p-value	Hypergeometric test p-value
1.0	4.494944712692815e-06	4.972388812937156e-06
2.0	4.3210223425797254e-11	4.737889865698061e-11
3.0	2.603346119740139e-11	3.205081607353072e-11
4.0	1.0007277012877978e-05	1.0495891485639113e-05
5.0	0.012172525054510646	0.013853296576737045
6.0	0.558595608054867	0.5616655333996392
