	node1	node2	provenance
187	SRC	ADAM19	ppi
188	PDGFRB	PLCG1	ppi
189	PDGFRB	VEGFA	ppi
190	PDGFRB	ERBB2	ppi
191	COCH	COL2A1	ppi
192	VEGFA	NRP1	ppi
193	VEGFA	VEGFB	ppi
194	ITGA3	ITGB1	ppi
195	NES	COL5A2	ppi
196	SPP1	ERBB2	ppi
197	GRB2	LCP2	ppi
198	GRB2	EGFR	ppi
199	GRB2	VAV1	ppi
200	GRB2	CBL	ppi
201	GRB2	ERBB2	ppi
202	GRB2	VCAM1	ppi
203	GRB2	MET	ppi
204	GRB2	FYN	ppi
205	MET	HGF	ppi
206	MET	CBL	ppi
207	MET	PLCG1	ppi
208	MET	ITGB1	ppi
209	MET	ERBB2	ppi
210	MET	VAV1	ppi
211	LCP2	EGFR	ppi
212	LCP2	PLCG1	ppi
213	EGFR	PLCG1	ppi
214	EGFR	ERBB2	ppi
215	EGFR	CBL	ppi
216	EGFR	VAV1	ppi
217	EGFR	ITGB1	ppi
218	HGF	ERBB2	ppi
219	BCAR1	FYN	ppi
220	ITGA5	ITGB1	ppi
221	ITGA5	VCAM1	ppi
222	SH3KBP1	CBL	ppi
223	SH3KBP1	P4HB	ppi
224	GPX8	COL8A2	ppi
225	GPX8	ERO1A	ppi
226	PLCG1	VAV1	ppi
227	PLCG1	CBL	ppi
228	PLCG1	ERBB2	ppi
229	ERBB2	FYN	ppi
230	GPX7	ERO1A	ppi
231	ITGA2	ITGB1	ppi
232	VAV1	FYN	ppi
233	VAV1	CBL	ppi
234	CBL	FYN	ppi
235	CBL	VCAM1	ppi
236	ITGB1	VCAM1	ppi
237	P4HA2	P4HA3	pathways
238	P4HA2	P4HA1	pathways
239	P4HA2	P4HB	pathways
240	P4HA2	COL1A2	pathways
241	P4HA2	COL3A1	pathways
242	P4HA2	COL1A1	pathways
243	P4HA2	COL10A1	pathways
244	ITGB3	ITGA2B	pathways
245	ITGB3	BCAR1	pathways
246	ITGB3	CRK	pathways
247	ITGB3	FN1	pathways
248	ITGB3	GRB2	pathways
249	ITGB3	SOS1	pathways
250	ITGB3	SHC1	pathways
251	ITGB3	SRC	pathways
252	ITGB3	TLN1	pathways
253	ITGB3	THBS1	pathways
254	ITGB3	ITGAV	pathways
255	ITGB3	TNC	pathways
256	ITGB3	SPP1	pathways
257	ITGB3	PTK2	pathways
258	ITGB3	VEGFA	pathways
259	ITGB3	VTN	pathways
260	ERO1B	P4HB	pathways
261	LYN	CRKL	pathways
262	LYN	RAPGEF1	pathways
263	LYN	PIK3R1	pathways
264	LYN	PLCG1	pathways
265	LYN	SHC1	pathways
266	LYN	SOS1	pathways
267	LYN	GRB2	pathways
268	LYN	VAV1	pathways
269	LYN	FYN	pathways
270	SH3PXD2A	ADAM19	pathways
271	SH3PXD2A	ADAM12	pathways
272	SH3PXD2A	ADAM15	pathways
273	PLXNA1	FYN	pathways
274	PLXNA1	NRP1	pathways
275	COL4A2	COL4A1	pathways
276	COL4A2	COL4A5	pathways
277	COL4A2	COL4A6	pathways
278	COL4A2	MSR1	pathways
279	P4HA3	P4HB	pathways
280	P4HA3	P4HA1	pathways
281	P4HA3	COL1A1	pathways
282	P4HA3	COL1A2	pathways
283	P4HA3	COL10A1	pathways
284	P4HA3	COL3A1	pathways
285	COL4A5	COL4A1	pathways
286	COL4A5	COL4A6	pathways
287	COL4A5	COL4A4	pathways
288	COL4A5	COL4A3	pathways
289	FN1	BCAR1	pathways
290	FN1	CRK	pathways
291	FN1	SRC	pathways
292	FN1	ITGA2B	pathways
293	FN1	TLN1	pathways
294	FN1	GRB2	pathways
295	FN1	SOS1	pathways
296	FN1	ITGB1	pathways
297	FN1	ITGA5	pathways
298	FN1	PTK2	pathways
299	FN1	TNC	pathways
300	FN1	SHC1	pathways
301	THBS1	ITGA4	pathways
302	THBS1	ITGB1	pathways
303	THBS1	ITGA3	pathways
304	THBS1	ITGA2B	pathways
305	THBS1	PDGFB	pathways
306	PDGFB	SPP1	pathways
307	PDGFB	PDGFRA	pathways
308	PDGFB	PDGFRB	pathways
309	PDGFB	CRKL	pathways
310	PDGFB	CRK	pathways
311	PDGFB	RAPGEF1	pathways
312	PDGFB	BCAR1	pathways
313	PDGFB	GRB2	pathways
314	PDGFB	SOS1	pathways
315	PDGFB	SRC	pathways
316	PDGFB	PIK3R1	pathways
317	PDGFB	PLCG1	pathways
318	PDGFB	PTPN11	pathways
319	ADAM15	CDH1	pathways
320	COL4A3	COL4A4	pathways
321	PGF	FLT1	pathways
322	P4HA1	P4HB	pathways
323	P4HA1	COL10A1	pathways
324	P4HA1	COL3A1	pathways
325	P4HA1	COL1A2	pathways
326	P4HA1	COL1A1	pathways
327	PIK3R1	SHC1	pathways
328	PIK3R1	GRB2	pathways
329	PIK3R1	PTPN11	pathways
330	PIK3R1	VAV1	pathways
331	PIK3R1	FYN	pathways
332	PIK3R1	LCK	pathways
333	PIK3R1	EGFR	pathways
334	PIK3R1	ERBB2	pathways
335	PIK3R1	SRC	pathways
336	PIK3R1	CBL	pathways
337	PIK3R1	MET	pathways
338	PIK3R1	HGF	pathways
339	PIK3R1	PTK2	pathways
340	PIK3R1	PDGFRB	pathways
341	PIK3R1	PDGFRA	pathways
342	PIK3R1	VEGFA	pathways
343	PIK3R1	SOS1	pathways
344	PTK2	BCAR1	pathways
345	PTK2	CRK	pathways
346	PTK2	EGFR	pathways
347	PTK2	SRC	pathways
348	PTK2	GRB2	pathways
349	PTK2	SOS1	pathways
350	PTK2	FYN	pathways
351	PTK2	MET	pathways
352	PTK2	HGF	pathways
353	PTK2	TLN1	pathways
354	PTK2	ITGA2B	pathways
355	PTK2	VEGFA	pathways
356	PTK2	ITGAV	pathways
357	JAM2	JAM3	pathways
358	JAM2	ITGB1	pathways
359	JAM2	ITGA4	pathways
360	CRKL	RAPGEF1	pathways
361	CRKL	SHC1	pathways
362	CRKL	GRB2	pathways
363	CRKL	SOS1	pathways
364	CRKL	VAV1	pathways
365	CRKL	MET	pathways
366	CRKL	HGF	pathways
367	CRKL	PDGFRB	pathways
368	CRKL	PDGFRA	pathways
369	CRKL	BCAR1	pathways
370	CRKL	CBL	pathways
371	SH3GL2	SH3KBP1	pathways
372	SH3GL2	HGF	pathways
373	SH3GL2	MET	pathways
374	SH3GL2	CBL	pathways
375	SH3GL2	GRB2	pathways
376	SH3GL2	L1CAM	pathways
377	SH3GL2	EGFR	pathways
378	CDH1	ITGAE	pathways
379	CDH1	ITGB7	pathways
380	ITGAV	ITGB1	pathways
381	ITGAV	TNC	pathways
382	ITGAV	ITGB5	pathways
383	ITGAV	ITGB6	pathways
384	ITGAV	SPP1	pathways
385	ITGAV	VEGFA	pathways
386	ITGAV	VTN	pathways
387	ITGAV	SRC	pathways
388	COL1A1	COL1A2	pathways
389	COL1A1	P4HB	pathways
390	PDGFRA	PDGFRB	pathways
391	PDGFRA	CRK	pathways
392	PDGFRA	RAPGEF1	pathways
393	PDGFRA	BCAR1	pathways
394	PDGFRA	GRB2	pathways
395	PDGFRA	SOS1	pathways
396	PDGFRA	SRC	pathways
397	PDGFRA	PLCG1	pathways
398	PDGFRA	PTPN11	pathways
399	COL4A1	COL4A6	pathways
400	COL4A1	MSR1	pathways
401	LCK	GRB2	pathways
402	LCK	PTPN11	pathways
403	LCK	VAV1	pathways
404	LCK	FYN	pathways
405	LCK	SHC1	pathways
406	LCK	SOS1	pathways
407	LCK	LCP2	pathways
408	LCK	PLCG1	pathways
409	PLXNB1	ERBB2	pathways
410	PLXNB1	MET	pathways
411	PLXNB1	SEMA4D	pathways
412	COL10A1	P4HB	pathways
413	TLN1	BCAR1	pathways
414	TLN1	CRK	pathways
415	TLN1	GRB2	pathways
416	TLN1	SOS1	pathways
417	TLN1	SHC1	pathways
418	TLN1	ITGA2B	pathways
419	TLN1	SRC	pathways
420	L1CAM	EGFR	pathways
421	L1CAM	NRP1	pathways
422	L1CAM	SRC	pathways
423	SOS1	SHC1	pathways
424	SOS1	GRB2	pathways
425	SOS1	SH3KBP1	pathways
426	SOS1	CBL	pathways
427	SOS1	SRC	pathways
428	SOS1	FYN	pathways
429	SOS1	EGFR	pathways
430	SOS1	ERBB2	pathways
431	SOS1	RAPGEF1	pathways
432	SOS1	ITGA2B	pathways
433	SOS1	HGF	pathways
434	SOS1	MET	pathways
435	SOS1	PDGFRB	pathways
436	SOS1	VAV1	pathways
437	SOS1	LCP2	pathways
438	SOS1	PLCG1	pathways
439	SEMA4D	ERBB2	pathways
440	SEMA4D	MET	pathways
441	ITGA4	ITGB1	pathways
442	ITGA4	ITGB7	pathways
443	ITGA4	MADCAM1	pathways
444	ITGA4	SPP1	pathways
445	ITGA4	JAM3	pathways
446	ITGA4	VCAM1	pathways
447	PTPN11	GRB2	pathways
448	PTPN11	SHC1	pathways
449	PTPN11	CBL	pathways
450	PTPN11	EGFR	pathways
451	PTPN11	HGF	pathways
452	PTPN11	MET	pathways
453	PTPN11	PDGFRB	pathways
454	PTPN11	SRC	pathways
455	RAPGEF1	SHC1	pathways
456	RAPGEF1	GRB2	pathways
457	RAPGEF1	VAV1	pathways
458	RAPGEF1	HGF	pathways
459	RAPGEF1	MET	pathways
460	RAPGEF1	CRK	pathways
461	RAPGEF1	BCAR1	pathways
462	RAPGEF1	PDGFRB	pathways
463	RAPGEF1	CBL	pathways
464	SHC1	GRB2	pathways
465	SHC1	EGFR	pathways
466	SHC1	VAV1	pathways
467	SHC1	HGF	pathways
468	SHC1	MET	pathways
469	SHC1	ITGA2B	pathways
470	SHC1	SRC	pathways
471	SHC1	ERBB2	pathways
472	SHC1	ITGA5	pathways
473	SHC1	ITGB1	pathways
474	SHC1	LCP2	pathways
475	SHC1	PLCG1	pathways
476	SHC1	FYN	pathways
477	MADCAM1	ITGB7	pathways
478	CRK	SRC	pathways
479	CRK	VEGFA	pathways
480	CRK	BCAR1	pathways
481	CRK	ITGA2B	pathways
482	CRK	GRB2	pathways
483	CRK	HGF	pathways
484	CRK	MET	pathways
485	CRK	PDGFRB	pathways
486	CRK	CBL	pathways
487	NRP2	FLT1	pathways
488	FLT1	VEGFA	pathways
489	FLT1	VEGFB	pathways
490	COL1A2	P4HB	pathways
491	SRC	BCAR1	pathways
492	SRC	CBL	pathways
