multiplex	node	score
1	PIK3R1	0.02027653242477017
1	SHC1	0.020221429445770673
1	INSR	0.020203847279691312
1	IRS1	0.02017532306338161
1	GRB2	0.01984032561545556
1	IGF1R	0.01982161190967944
1	ERBB2	0.019705523962349168
1	EGFR	0.01959373882372387
1	PTPN11	0.019572077267687494
1	PLCG1	0.019517396683007462
1	SOS1	0.0001753505309436317
1	PDGFRA	0.0001620458315744537
1	CBL	0.00016120161883686422
1	LCP2	0.00015841717293634078
1	VAV1	0.00014717591482343105
1	MEMO1	0.0001451112721170193
1	ESR1	0.0001294506874248046
1	KHDRBS1	0.00012660900763540462
1	LAT	0.0001251879086845617
1	PIK3CA	0.00011312371446472449
1	CRK	0.00010880178263685802
1	PTGFRN	0.00010505227383728543
1	IRS2	0.0001018085026405167
1	JAK1	0.00010144591647313347
1	SRC	0.00010082487503654752
1	ITK	9.53555034046211e-05
1	PIK3R2	9.521146088010366e-05
1	PIK3C2B	9.151324745778066e-05
1	GDF15	9.139683744438323e-05
1	SOCS3	8.836982437957092e-05
1	INS	8.824819248606454e-05
1	FYN	8.624779518649345e-05
1	PLCG2	8.33783919823174e-05
1	LCK	7.811595219051362e-05
1	IRS4	7.08043489962838e-05
1	SH3KBP1	7.0408765148912e-05
1	GRB10	6.899172631872143e-05
1	IGF1	6.696068004730418e-05
1	PIK3CB	6.680345073340672e-05
1	LYN	6.135985416423298e-05
1	LEPR	5.847984149212282e-05
1	RFFL	5.446788886772495e-05
1	PIK3CD	5.3369307954684814e-05
1	RNF34	5.224985708151481e-05
1	CRKL	5.14722324475065e-05
1	MET	5.1421580608516175e-05
1	ITGB4	5.0753861257887484e-05
1	SYK	4.723330863228441e-05
1	SH3GL2	4.690892778296156e-05
1	NTRK1	4.5049052926800355e-05
1	PIK3R3	4.4302217121407296e-05
1	ITGA6	4.27837871001132e-05
1	FGFR2	4.2265961359621504e-05
1	SNX4	4.1049731399722274e-05
1	PTK2	3.9176949588239095e-05
1	SH2B1	3.8414079489788885e-05
1	GAB1	3.799554320118377e-05
1	ERBB3	3.6854339593395156e-05
1	PTK2B	3.6633164018166283e-05
1	SNX1	3.640482177081135e-05
1	EPS15	3.604049717587609e-05
1	Q13745	3.570690297347391e-05
1	IL6ST	3.486004591943651e-05
1	GAS2L1	3.4781205545790984e-05
1	CD19	3.416636101625871e-05
1	EPHA1	3.3847363742670644e-05
1	PTPN18	3.292713895304046e-05
1	ARAF	3.277000672237388e-05
1	PTPN12	3.271756270777937e-05
1	SNX2	3.1973388170158106e-05
1	RAB5C	3.100131686575205e-05
1	RAPGEF1	3.090022456843018e-05
