multiplex	node	score
1	BCKDHA	0.0024845388349129054
1	BCKDHB	0.002402583781387325
1	DLD	0.002390909495923181
1	NPIPA9	0.002351124656424205
1	DLAT	0.002347245889954715
1	CHUK	0.0023396386993808156
1	DDRGK1	0.002338820676483872
1	UBA5	0.002316263167337297
1	IKBKG	0.00231262573291121
1	UFL1	0.0023041395288411416
1	CDK5RAP3	0.002302408213225299
1	PDHX	0.0022971725551481663
1	RBX1	0.002293572836915309
1	PDHB	0.0022884477142462462
1	UFM1	0.0022848886528652568
1	IKBKB	0.0022832383447447735
1	GCSH	0.0022819806636190567
1	PDK3	0.0022732854543282676
1	ABHD6	0.0022664587720297386
1	PDHA1	0.002265630339740929
1	GH1	0.002255967819945667
1	TRAF2	0.002252612077605734
1	PDK2	0.0022426163077943614
1	PDK1	0.002237074726602095
1	CUL1	0.002233325350588271
1	SKP1	0.0022331906836365796
1	RELA	0.0022325472660036424
1	NFKB1	0.0022299797401130273
1	PPM1K	0.002226095373286611
1	HIF1A	0.0022251498674385694
1	BCKDK	0.0022231858695170173
1	FLYWCH1	0.0022210879158240148
1	ELOC	0.0022183978503698878
1	SIL1	0.0022038359417268566
1	NSUN6	0.0021997630864674734
1	SNX6	0.0021918915101564324
1	DBT	0.00218872861466148
1	FADD	0.00218464371331778
1	PDK4	0.0021786108966024343
1	GH2	0.0021593683174663913
1	METTL21C	0.0021565567583573357
1	CASP8	0.0021551247974438584
1	RIPK1	0.002150400014798756
1	NFKB2	0.0021496882473509777
1	DLST	0.0021463733078311955
1	STAT5A	0.0021441113879497606
1	TRADD	0.0021401655223498854
1	FBXW11	0.002135748995242939
1	SNX1	0.0021340326594991607
1	STAT5B	0.0021338812366070354
1	ELOB	0.0021312098029015354
1	SOCS2	0.002130483586953988
1	BTRC	0.002125530292782821
1	TNFRSF1A	0.0021219211638719847
1	MAP3K7	0.002118205566609186
1	VHL	0.0021139589253350716
1	PRLR	0.0021060136567382275
1	REL	0.0021054945384538924
1	RNF31	0.002103277722107619
1	ARNT	0.0021004236327910116
1	CFLAR	0.002096639492930181
1	TAB1	0.002095791641284281
1	RBCK1	0.0020934098708088843
1	TAB2	0.002092513481911868
1	CSH2	0.00208414790422127
1	NFKBIA	0.0020825551268204897
1	OGDH	0.0020820025707073927
1	HSP90AB1	0.0020803042277214774
1	NFKBIB	0.0020774933847868787
1	EPAS1	0.0020765939422689207
1	BIRC3	0.0020736395517377817
1	MAP3K14	0.002070804587719553
1	CUL2	0.0020698954069123597
1	NFKBIE	0.0020697587562000484
1	FAS	0.0020697508422083096
1	PDHA2	0.0020653189970909138
1	CASP10	0.002062492310364439
1	EGLN1	0.0020621185653741454
1	EGLN3	0.0020608439579363367
1	OS9	0.002055855796641392
1	TNIP2	0.002052123567307012
1	PRL	0.002051162768734579
1	BIRC2	0.002043134701880723
1	RELB	0.0020419095968752642
1	GHR	0.0020296310961606602
1	SHARPIN	0.0020255830396146163
1	CSH1	0.0020225545699922988
1	TRAF6	0.0020192828147258036
1	TRAF3	0.0020151713239379486
1	CUL5	0.0020133126838557903
1	EP300	0.0020089119012928606
1	STAT3	0.002006661758502618
1	AHR	0.002002809678674611
1	CREBBP	0.002001194324110426
1	BCL10	0.0019959799730643957
1	FBXW7	0.001994599729137414
1	MAP3K8	0.0019756522354651474
1	GSK3B	0.001971659326803746
1	TNF	0.0019406211279330275
1	SKP2	0.0018197287184407102
1	MALT1	4.4568286779408134e-05
1	CARD11	3.419172841441294e-05
1	UBE2D1	2.8493719899595008e-05
1	LTBR	2.6843111643769635e-05
1	UBE2D2	2.6067228784041506e-05
1	TANK	2.6004544069082898e-05
1	TNFRSF1B	2.5184943773366534e-05
1	UBE2D3	2.397112786365193e-05
1	HSP90AA1	2.2047052111657197e-05
1	CDC37	2.202413751409201e-05
1	TAB3	2.141123220566622e-05
1	TNIP1	2.125848319839171e-05
1	FASLG	2.1251942676687283e-05
1	CKS1B	2.0981619545853992e-05
1	HDAC6	2.0799089151640855e-05
1	PDCD6IP	2.0638803895439787e-05
1	CAND1	2.0005251735732732e-05
1	CDKN1B	1.9778719908848622e-05
1	NEDD8	1.9726684437118252e-05
1	CCNE1	1.9650263136319073e-05
1	AIP	1.90820071710126e-05
1	CUL4B	1.854069356915338e-05
1	LRRK2	1.8536478415377254e-05
1	SMAD3	1.832170559991523e-05
1	RNF7	1.822155189718561e-05
1	SUMO1	1.8035442419122275e-05
1	CTNNB1	1.7755655225876887e-05
1	ARNT2	1.7590561831207313e-05
1	UBE2V1	1.6778680859135006e-05
1	CDK2	1.6718513428781175e-05
1	HIF3A	1.6625919953250735e-05
1	OGDHL	1.6182549497852495e-05
1	DERL2	1.6145884331287373e-05
1	LRSAM1	1.5709791960121765e-05
1	TBK1	1.5272532611888694e-05
1	CUL3	1.4774872742424016e-05
1	IRAK1	1.4746418645065435e-05
1	WSB1	1.4694718558133166e-05
1	DDB1	1.4533779370117954e-05
1	FAM118B	1.422411183679727e-05
1	TNFRSF10B	1.4102413544419147e-05
