multiplex	node	score
1	RPA1	0.002759497373212617
1	PCNA	0.002564166108023789
1	RPA2	0.0025607557596850116
1	RPA3	0.002454216609969493
1	XRCC1	0.0023787155702349487
1	ZMPSTE24	0.00235858450587946
1	NBN	0.002352207758035181
1	CDX1	0.0023255884827140783
1	POLB	0.0023197483344236775
1	MSH2	0.002298623598393203
1	LIG3	0.002282005896160626
1	RAD1	0.002258367772115665
1	MRE11	0.0022491978871571464
1	BRCA1	0.002247730613919567
1	XRCC4	0.0022422722286696423
1	POLA1	0.0022419268357673555
1	LIG4	0.0022274563744936952
1	MLH1	0.0022241665043894973
1	POLE3	0.002222896441250591
1	APLF	0.0022217557248141655
1	HUS1	0.002219361021081517
1	OGG1	0.00221772189172213
1	POLD2	0.002214662451252971
1	USP46	0.002214081320848241
1	XRCC5	0.0022104382426893303
1	RAD50	0.0022101785405383677
1	XRCC6	0.002208993906620941
1	PRIM1	0.002207464380304375
1	RMI1	0.002202385481390675
1	PRIM2	0.002201661569706654
1	WDR20	0.0021999032450207377
1	POLD1	0.0021944149984776625
1	HUS1B	0.0021862870071011767
1	POLE4	0.002178957847272891
1	POLD4	0.0021766869100904645
1	BLM	0.0021752050274741162
1	POLD3	0.0021684785173639943
1	NEIL1	0.0021682910033276595
1	ERCC1	0.002167955844004361
1	POLE	0.0021665906316494852
1	PARP1	0.0021665349648803903
1	WDR48	0.002163980816193393
1	APTX	0.002162103819150603
1	POLA2	0.0021593445955682368
1	PNKP	0.0021591629540945343
1	CHRAC1	0.0021568452668059962
1	TDP1	0.0021553492719365037
1	RMI2	0.0021512331538375644
1	ATM	0.002145302755843458
1	ERCC4	0.002144543421176285
1	RAD51	0.0021442030136352044
1	MSH3	0.002138628107986789
1	MSH6	0.0021373532415307982
1	VRK1	0.0021361327322305355
1	TOP3A	0.002133998980420082
1	FANCD2	0.002133997268723703
1	NHEJ1	0.002132325619277646
1	POLE2	0.002130238464280122
1	LIG1	0.002129899085164474
1	RAD9A	0.002128811717753125
1	RBBP8	0.0021190029605714345
1	ATR	0.002116919936227344
1	APEX1	0.0021161010818230987
1	SPATA48	0.0021148503538974887
1	EXO1	0.002110664135608427
1	DCLRE1C	0.0021091847083774006
1	BARD1	0.0021076339865336714
1	FEN1	0.0021022438885845486
1	USP1	0.0021012429080101017
1	FANCI	0.002092426253022366
1	RAD52	0.0020872592366251927
1	RAD51AP1	0.0020863004027784214
1	RAD9B	0.0020790369014287327
1	KAT5	0.002070908413301692
1	PMS2	0.002070110128796918
1	CDK2	0.002068788579530752
1	MDC1	0.0020678199277053377
1	MCM2	0.0020629014800321523
1	XPA	0.0020605379413176513
1	LMNA	0.0020553576754583206
1	WRN	0.0020459375207190875
1	PRKDC	0.0020453209571419124
1	USP12	0.0020452648882535876
1	RNF8	0.002045005326410554
1	MCM6	0.002041595661212954
1	BRCA2	0.002040605996142904
1	MCM4	0.0020390334050972266
