Cluster	GenAge	Blood up	Blood down	Blood up&down	Skin up	Skin down	Skin up&down	GeneAge
cluster_1		0.6552935925653929	1.0	0.9754934287289369	0.9997837461014814	0.6662436988337856	0.9972599426931452	4.173501273006769e-06
cluster_2		0.03372001924189707	0.5203295899722268	0.09871195709128631	0.8591195952708995	0.9645649563390314	0.9708627920293539	3.677060277368594e-11
cluster_3		0.7252341187813038	0.8259153565429833	0.8225762844167481	0.3968613446087774	0.7684807494827182	0.5770465632801568	2.3433162558677744e-11
cluster_4		0.46837571862758653	0.7900934527858222	0.6425256332733841	0.3626208043674659	0.3788529640950222	0.2844762390324293	9.13168171930295e-06
cluster_5		0.16254420487081797	0.8972670279098742	0.6039049209056242	0.0014701303581193155	0.7852831653864256	0.023103238994745336	0.01243949880476725
cluster_6		1.0	0.23683535200060957	0.421801078905875	0.14604700248352323	0.19460329008502433	0.06904939102873639	0.5540479878941383
