	node1	node2	provenance
0	LMNA	ZMPSTE24	ppi
1	ZMPSTE24	SPATA48	ppi
2	EGFR	SRC	ppi
3	BRCA1	ATRIP	ppi
4	BRCA1	COL1A1	ppi
5	ATM	WRN	pathways
6	ATM	BRCA1	pathways
7	ATM	ATRIP	pathways
8	WRN	BRCA1	pathways
9	WRN	ATRIP	pathways
10	BRCA1	ATRIP	pathways
11	EGFR	SRC	pathways
12	SPATA48	ATRIP	coexp
13	ATM	BRCA1	complexes
14	EGFR	SRC	complexes
