	node1	node2	provenance
0	EMD	LMNA	ppi
1	LMNA	ZMPSTE24	ppi
2	ZMPSTE24	SPATA48	ppi
3	EGFR	SRC	ppi
4	BRCA1	ATRIP	ppi
5	BRCA1	COL1A1	ppi
6	EMD	LMNA	pathways
7	ATM	WRN	pathways
8	ATM	BRCA1	pathways
9	ATM	ATRIP	pathways
10	WRN	BRCA1	pathways
11	WRN	ATRIP	pathways
12	BRCA1	ATRIP	pathways
13	EGFR	SRC	pathways
14	SPATA48	ATRIP	coexp
15	EMD	LMNA	complexes
16	ATM	BRCA1	complexes
17	EGFR	SRC	complexes
