	node1	node2	provenance
0	SPATA48	ZMPSTE24	ppi
1	SPATA48	RAD9B	coexp
2	SPATA48	ATRIP	coexp
3	SPATA48	HLTF	coexp
4	EGFR	SRC	ppi
5	EGFR	SRC	pathways
6	EGFR	SRC	complexes
7	ATRIP	BRCA1	ppi
8	ATRIP	ATM	pathways
9	ATRIP	BRCA1	pathways
10	ATRIP	WRN	pathways
11	ZMPSTE24	LMNA	ppi
12	WRN	ATM	pathways
13	WRN	BRCA1	pathways
14	LMNA	EMD	ppi
15	LMNA	EMD	pathways
16	LMNA	EMD	complexes
17	ATM	BRCA1	pathways
18	ATM	BRCA1	complexes
19	COL1A1	BRCA1	ppi
