multiplex	node	score
1	ITGB1	0.002455485516774891
1	EDN3	0.0023905832098069417
1	ITGA4	0.0023739702952797195
1	EDN1	0.002367761485641396
1	EDN2	0.0023209826361965413
1	TFEB	0.002318979029675138
1	EML4	0.0023155422397495525
1	GPR143	0.0022905461442049384
1	ITGAV	0.0022752745483766235
1	XK	0.0022709996907898967
1	ITGA9	0.002266910684328313
1	KLHDC10	0.0022468452037167387
1	EDNRB	0.0022408199720507674
1	EDNRA	0.0022310297315976607
1	ITGB3	0.0022027863795028987
1	GRB2	0.002190668902871738
1	TFE3	0.002187012814868142
1	MADCAM1	0.0021865316860981317
1	VEGFA	0.0021701907703602576
1	SNAI2	0.0021685623345545206
1	MOGS	0.002168070889066931
1	PIK3R1	0.002159643385559828
1	NEK6	0.002146259136106231
1	ITGB7	0.0021452033465064065
1	NEK7	0.002144386441284483
1	PYCR1	0.002139305944643127
1	EML3	0.002136120376279969
1	ADAM19	0.0021322199902962463
1	JAM3	0.0021291045372717125
1	POU3F2	0.002127750762677731
1	EML1	0.0021276898579761744
1	ECE2	0.0021231822267124847
1	EML2	0.0021228775256162736
1	FLT1	0.0021153895467115095
1	FN1	0.00211388265238349
1	SOX10	0.0021113708507848237
1	VEGFB	0.0021059548144184404
1	CDH1	0.0020987565085771992
1	CBL	0.0020959843471519395
1	POU3F1	0.0020902971455312057
1	NEK9	0.002087254855315875
1	PLCG1	0.002084799096635514
1	VCAM1	0.0020772655611198177
1	SH3PXD2A	0.0020732948976298522
1	SRC	0.00206961329163603
1	TYR	0.002068213024952526
1	TUBB2A	0.002059807745786918
1	ITGAE	0.0020588315734877
1	SOS1	0.002053678945980165
1	SPP1	0.002046560386067832
1	ECE1	0.0020432472567256795
1	JAM2	0.002041486776172968
1	CLGN	0.002041308694237679
1	FLT3LG	0.002040597650730783
1	KITLG	0.002040332532995303
1	NUDC	0.0020400890303247815
1	ADAM15	0.002039710611635313
1	CRK	0.0020368113813595766
1	MITF	0.002030162097808068
1	SYK	0.0020232903179648698
1	LCP2	0.002015496551828746
1	PTK2	0.0020129888831234
1	EGFR	0.002008887535642065
1	MET	0.0020080116023237955
1	FYN	0.00200757800225608
1	ITGB6	0.0020071493313907262
1	KEL	0.0020040178857844786
1	SHC1	0.002002610800677608
1	PGF	0.0019929334793875424
1	NRP2	0.001992100004814439
1	BCAR1	0.0019849851214064846
1	TNC	0.0019843919759311435
1	TGFB3	0.0019843034218191002
1	PLCG2	0.0019807210319047644
1	LYN	0.001978321189558057
1	ITGA2B	0.0019723614573793
1	TGFBR2	0.0019663027998335376
1	ITGA5	0.0019621680200746336
1	VAV1	0.0019548279224052265
1	ITGB5	0.0019525006039120157
1	THBS1	0.0019519937978556897
1	SH3KBP1	0.001948580105627017
1	PDGFRA	0.0019477711049807728
1	PTPN11	0.0019464536846375054
1	CRKL	0.001941741388610224
1	LAT	0.001940575551924541
1	PXN	0.0019403583552716226
1	TLN1	0.001940038218493471
1	TGFBR1	0.001932238815977946
1	ERBB2	0.0019300236665314072
1	PLK1	0.0019287390637791099
1	CD2AP	0.001924192341890243
1	PTK2B	0.0019115300174690616
1	ITGA3	0.0019085705603632274
1	TGFB1	0.0019071013007564415
1	SH3GL2	0.0019023017037221627
1	VCL	0.001896388260967539
1	L1CAM	0.0018867032788624448
1	ADAM12	0.001862354874507259
1	ITK	0.0018377539801035204
1	LCK	0.0018305325507451443
1	HGF	0.001830366019397521
1	FCGR1A	0.0018115847439797474
1	VTN	0.0018061023880659591
1	RAPGEF1	0.001804086745483382
1	PLXNA1	3.529806110337397e-05
1	NRP1	3.2697113304508085e-05
1	ZAP70	2.6334440939609148e-05
1	PIK3R2	2.38660269111373e-05
1	SMAD7	2.281094593132082e-05
1	CTNNB1	2.2665453430362597e-05
1	KDR	2.2458871929955304e-05
1	FGG	2.1910173957647836e-05
1	CDC42	2.1176943250834267e-05
1	DOCK1	2.030543229586662e-05
1	PIK3CA	1.9970023578212056e-05
1	ITGA8	1.950091970192505e-05
1	ITGA2	1.909566235435265e-05
1	SMAD3	1.9007996474041387e-05
1	BLNK	1.8576354858020765e-05
1	FGFR2	1.8262306524865734e-05
1	NCK2	1.791439097475886e-05
1	SHB	1.7903090944702488e-05
1	SMURF2	1.7824807035577168e-05
1	YES1	1.7649256719160202e-05
1	ITGB4	1.7626940684229456e-05
1	SH3GL3	1.7210902526590074e-05
1	NCAN	1.7107670216664923e-05
1	CIB1	1.6770050224474262e-05
1	NCK1	1.6764348663019325e-05
1	MEMO1	1.6655913393237604e-05
1	IGHM	1.6536324489839592e-05
1	CD53	1.6531853998954803e-05
1	FGFR1	1.6480664309579786e-05
1	ITGB8	1.6318657676815682e-05
1	GRB7	1.6270929162588092e-05
1	ITGA6	1.5667154047330828e-05
1	GRAP2	1.5569721721455392e-05
1	ERBB3	1.5440829206855372e-05
1	MMP14	1.530193786396498e-05
1	CD47	1.5194890042419114e-05
1	PLPP3	1.5183861212033106e-05
1	STAM2	1.504338837212254e-05
1	PLXNB1	1.4747540177073403e-05
1	EMILIN1	1.4566525541090104e-05
1	PLAUR	1.4459334638753304e-05
1	VEGFC	1.4401805601543777e-05
1	SOCS3	1.4112929397365105e-05
1	ITGA1	1.4048428802560074e-05
1	MAPK1	1.4009472171528577e-05
1	VEGFD	1.3925408509412166e-05
1	CANX	1.390735347859956e-05
1	PDGFB	1.388977646850712e-05
1	ADAM9	1.3850070122238683e-05
1	PLG	1.3697069404632733e-05
1	SMURF1	1.3427900332812724e-05
1	EPS15	1.3358966635783022e-05
1	PIK3CB	1.2936130982388584e-05
1	CD19	1.2909600136400922e-05
1	PARVA	1.2899536217055751e-05
1	FKBP1A	1.275387668215727e-05
1	TEC	1.2597508892271828e-05
1	GAB1	1.2517743891131185e-05
1	IQGAP1	1.2510427898115282e-05
1	CD86	1.2498613517537534e-05
1	ITGA7	1.2293469063066028e-05
1	ESR1	1.2160029566319677e-05
1	PRKCA	1.2090918363564932e-05
1	EPHA1	1.2075484279988253e-05
1	ADAM10	1.1959077599150938e-05
1	ABL2	1.1926549940572243e-05
1	SH3GL1	1.1887124052190264e-05
1	IGF1R	1.1826758334346647e-05
1	ADAM8	1.1697897000915904e-05
1	JAK1	1.1695861588708279e-05
1	IRS1	1.1489357807502017e-05
1	SELL	1.1474168748440735e-05
1	PDGFRB	1.1449915172993414e-05
1	GORAB	1.1427813791435637e-05
1	ITGB2	1.1416188153947003e-05
1	CD247	1.1368603783866703e-05
1	PRAG1	1.1315337608070172e-05
1	TGM2	1.1313420332820374e-05
1	DLG4	1.125368739681578e-05
1	ELMO1	1.1190140977701174e-05
1	RANBP9	1.1147998954477639e-05
1	RAC1	1.11008891284861e-05
1	ITGAM	1.09962850282708e-05
1	SORBS2	1.0851526135666904e-05
1	PLAU	1.0793434790571136e-05
1	ADAM17	1.073208790880901e-05
1	CDC37	1.0607988416439276e-05
1	RAP1A	1.0588479089315153e-05
1	INSR	1.0511928366441916e-05
1	THBS2	1.0438100728571882e-05
1	CD8A	1.0420978935569978e-05
1	KIT	1.036255344399402e-05
1	ABL1	1.024552856805048e-05
1	JUP	1.0191847666085335e-05
1	ILK	1.0180082850600652e-05
1	LAMA5	1.0126485936125258e-05
1	CD3G	9.941385181520712e-06
1	RAP1B	9.840186877576748e-06
1	PDGFA	9.68947435080752e-06
1	HCK	9.681316425709749e-06
1	SPAG5	9.630012653687816e-06
1	THBS3	9.616073969781407e-06
1	PPP1R15A	9.543393233546799e-06
1	KLK7	9.524854966805234e-06
1	ICAM4	9.408067042532901e-06
1	WAS	9.398671383321617e-06
1	CD3E	9.384117716925367e-06
1	PIK3C2B	9.358951832495552e-06
1	FER	9.338807036175551e-06
1	BSG	9.241722846395072e-06
1	WASL	9.134727394502737e-06
1	PSG1	9.119959996527344e-06
1	TUBB4B	9.11113892221469e-06
1	RAF1	9.051900075917009e-06
1	PAK1	9.033162650032528e-06
1	EPS8L1	8.954061368821203e-06
1	BGN	8.937330172262031e-06
1	ACTN1	8.93123722849961e-06
1	ARHGEF7	8.856339926512378e-06
1	GDF15	8.848058208142007e-06
1	FMOD	8.813764701740361e-06
1	FRK	8.71875969511448e-06
1	ABI1	8.701535559526045e-06
1	GP1BA	8.693974913316297e-06
1	PIK3CD	8.689753761952476e-06
1	FGB	8.675952019531092e-06
1	GIT1	8.663698613683782e-06
1	LAMB1	8.582579484493753e-06
1	PTEN	8.571700647669423e-06
1	F11R	8.556577988874117e-06
1	FLT4	8.544921152116781e-06
1	LTBP3	8.530330671268489e-06
1	PPP1CA	8.52446977465307e-06
1	COMP	8.501347305355926e-06
1	NPHP1	8.481930473582405e-06
1	PCBP1	8.275433106137213e-06
1	OPTN	8.258821175654417e-06
1	FBN1	8.238425240359792e-06
1	MAPK3	8.134024636955769e-06
1	EXT2	8.048532524512671e-06
1	CCN3	8.045268260695399e-06
1	CD44	7.975930824081519e-06
1	STAT3	7.972874803581943e-06
1	CAMLG	7.963382884827125e-06
1	UBE2I	7.946154202761833e-06
1	CBLB	7.926961716052872e-06
1	PAK2	7.860916003486159e-06
1	RASA1	7.852255717731058e-06
1	KHDRBS1	7.842115515131181e-06
1	HSP90AA1	7.803782495916571e-06
1	STAM	7.657370037066962e-06
1	DIAPH1	7.6154271858177305e-06
1	EPOR	7.582066967886122e-06
1	PPP1CC	7.5444521079762075e-06
1	PKD1	7.503440937304864e-06
1	COL7A1	7.464399787587484e-06
1	VWF	7.4435539922470695e-06
1	GDE1	7.416031853079947e-06
1	PLD1	7.408996154783076e-06
1	BTK	7.335149739972408e-06
1	FLT3	7.243425152503318e-06
1	MS4A1	7.151297359673311e-06
1	FGA	7.119830910883759e-06
1	THSD1	7.118480862405236e-06
1	VAV2	7.065009391081006e-06
1	MMP2	7.062453647392413e-06
1	LAMA4	7.037252551395515e-06
1	LTBP1	6.993041985541429e-06
1	MAP2K1	6.981470369059804e-06
1	CTNND1	6.903838431439773e-06
1	BCR/ABL	6.9024342902732035e-06
1	WIPF1	6.890977295019219e-06
1	CTTN	6.886896412115942e-06
1	HRAS	6.806187783272232e-06
1	C5	6.7680786707366675e-06
1	LAMTOR3	6.749879180140351e-06
1	ITGA11	6.714640423199467e-06
1	PTPN2	6.695039983992318e-06
1	PIK3R3	6.622474616182711e-06
1	ITGAX	6.606080085845245e-06
1	ITGA10	6.568201577622755e-06
1	SHC2	6.552969749698213e-06
1	CD36	6.547984712707518e-06
1	TNS4	6.543209646210683e-06
1	SLC3A2	6.505957080352725e-06
1	SKP2	6.4235131914898736e-06
1	RNF34	6.381279756813148e-06
1	AMOT	6.2789020369398384e-06
1	TNS3	6.271898509400795e-06
1	GPR20	6.243257893444431e-06
1	PECAM1	6.215642654607162e-06
1	LEF1	6.209307828554988e-06
1	CDH5	6.189284198979498e-06
1	SH2D2A	6.1861930539167025e-06
1	DCN	6.1540692105045665e-06
1	PTPRJ	6.145060621159762e-06
1	KLRG1	6.133064088438883e-06
1	CSNK1A1L	6.1291603355726336e-06
1	AUP1	6.097006640660237e-06
1	CCN1	6.084716679137803e-06
1	FMN2	6.047867545412548e-06
1	VAV3	6.0340432956985e-06
1	LAMB2	6.020849077466073e-06
1	PARD6A	5.9790563395380186e-06
1	ASAP1	5.978537334166132e-06
1	USP15	5.919466399960131e-06
1	SOCS6	5.8803785488535654e-06
1	IGHG1	5.873573958612801e-06
1	ARAF	5.853468817609176e-06
1	PTPN12	5.822922686462914e-06
1	CCNB1	5.796178362002584e-06
1	HGS	5.783407961129467e-06
1	LEPR	5.78018909844835e-06
1	EPS8	5.774746457664484e-06
1	FCGR3A	5.769946574065551e-06
1	HPS5	5.750803545601956e-06
1	LAMC1	5.720842051258477e-06
1	RABAC1	5.693770953146288e-06
1	C12orf57	5.692099618454407e-06
1	HDAC2	5.677328166587572e-06
1	PTPN1	5.639367369242254e-06
1	APBB1IP	5.626368707494304e-06
1	SOCS2	5.625054353457448e-06
1	KNSTRN	5.621992244815948e-06
1	RFFL	5.6116988312144184e-06
1	SH2B3	5.607869521575506e-06
1	IL6ST	5.605539714585021e-06
1	PAG1	5.584792841396496e-06
1	RTN4	5.52744364847006e-06
1	WDR88	5.515862797796658e-06
1	FAM3A	5.466534688571739e-06
1	APOA1	5.4604698910167575e-06
1	STRAP	5.438084299076257e-06
1	THBS4	5.414582338723417e-06
1	GAB2	5.397529630937999e-06
1	CD81	5.387010151253975e-06
1	E2F3	5.374072116371693e-06
1	DVL2	5.369330380200271e-06
1	GP6	5.360654314133282e-06
1	NAB1	5.3465603470605654e-06
1	CD151	5.346361368633028e-06
1	NAB2	5.274450656718982e-06
1	EGF	5.253050715564846e-06
1	OSTF1	5.246305441471196e-06
1	UFC1	5.234881455631491e-06
1	ROBO4	5.1900573951948525e-06
