multiplex	node	score
1	GNB1	0.0031218561764320076
1	GNG2	0.0027547678869652087
1	CNNM2	0.0025235363975503783
1	GNAI1	0.0025061328263600463
1	TMEM161B	0.0024706923492041656
1	GNB3	0.002445678570653359
1	HTR1A	0.0024197797340591745
1	CNNM4	0.0024188254694827655
1	GPR26	0.002409357624805468
1	KCNJ16	0.0024090204002245536
1	GNAS	0.0024056466237727804
1	HTR1D	0.0024050006897959196
1	GABBR2	0.0023970434555244642
1	GNB5	0.0023868441287233292
1	KCNJ3	0.002382700734139835
1	P2RY12	0.0023762911500084284
1	KCNJ14	0.0023692585908082976
1	TTC39A	0.002363164663353263
1	GNB2	0.0023618230204081768
1	CD209	0.0023607553880766593
1	GPR39	0.002358603217405554
1	GNB4	0.0023546656548462707
1	TMX4	0.0023478247889428213
1	GNAI3	0.0023420580547440506
1	HTR1B	0.0023286784378067733
1	GABBR1	0.00231588170311696
1	GNAL	0.0023083412950435076
1	KCNJ2	0.0023049717396247333
1	TYW1B	0.002302027110004513
1	GNG7	0.0022940697758819296
1	S1PR1	0.0022908255942925815
1	GNG4	0.0022902188100189288
1	GNG5	0.002285410341843296
1	KCNJ9	0.00228093399918945
1	GNG11	0.0022775553296930182
1	GNG10	0.002274523207859732
1	ANKRD13B	0.002274199217258295
1	GNG12	0.002272748427257726
1	MTNR1B	0.0022719656538083034
1	GNG8	0.0022667163267705505
1	ICAM2	0.002264685301636928
1	KCNJ4	0.0022642988731864035
1	GNAQ	0.0022639875211387657
1	BTN2A1	0.002258784083279425
1	RIC8A	0.0022564182551901486
1	RGS12	0.0022546231831547083
1	MTNR1A	0.0022521674892153117
1	PTK7	0.002250978540636979
1	TRO	0.00225052736575882
1	BTN2A2	0.0022493235445929342
1	ADCY3	0.0022472032346480286
1	GNA15	0.0022422145586743427
1	GNAZ	0.002233642297548181
1	GNAI2	0.002230229799785569
1	OCIAD1	0.0022283154719430747
1	ICAM3	0.002225043276533153
1	RGS14	0.002218270799620479
1	S1PR2	0.0022113421215273006
1	PTGER3	0.0022113267445248185
1	MAGED2	0.0022111378913580193
1	KCTD16	0.002204951553501338
1	TBXA2R	0.0022009855647289857
1	RGS17	0.0021966589475153576
1	GNG3	0.0021965319107566206
1	RGS20	0.0021930676780936
1	KCNJ6	0.0021922163962215277
1	PTGIR	0.0021820706040637733
1	FARP2	0.00217975723871787
1	GNA11	0.0021689847157581777
1	ADRA2C	0.002164495444934351
1	KCNJ5	0.002147430925762151
1	GNAT3	0.0021425474670206286
1	KCNJ10	0.0021323438894410357
1	RGS7	0.002130948160085306
1	PLCB1	0.0021264429990022217
1	GNAT2	0.0021257585798807057
1	RAP1GAP	0.0021224117312946852
1	ARHGEF25	0.002122291673078428
1	KCNJ12	0.0021181952414696943
1	NRP1	0.0021166297831255536
1	KCNJ15	0.0021143524495469902
1	ADRA2A	0.0021113404301411746
1	CLEC4M	0.002104501893052876
1	GNA12	0.002098264689049401
1	RHOA	0.0020938482949007966
1	GNG13	0.002079269809072342
1	PLXNB1	0.0020627512844562544
1	PDCL	0.002053820308491549
1	PLXNA2	0.0020308978193980714
1	GNA13	0.0020249584904655717
1	PLXNA1	0.0020234788708546757
1	GCGR	0.002012180531928847
1	PDZK1	0.002007575696545608
1	BTK	0.0020057085582380106
1	GNAO1	0.0020014470109502177
1	PRKCA	0.0019977019247859307
1	RAC1	0.001991323927541118
1	FYN	0.00197980931120699
1	GNGT1	0.0019324798177398639
1	PLCB3	0.0019166215160850832
1	SEMA4D	6.230436645574088e-05
1	L1CAM	3.134472715942337e-05
1	MET	2.088314590464559e-05
1	PLXNA4	2.0173060311706623e-05
1	SEMA3A	2.0089742493663975e-05
1	NRP2	1.7464944590981355e-05
1	KDR	1.7362138110814066e-05
1	PLXNA3	1.66086598873787e-05
1	DLG4	1.639879987262505e-05
1	ARHGEF12	1.6333432408595296e-05
1	PLCB2	1.6088499485246887e-05
1	TAS2R19	1.5073622130350401e-05
1	GSK3B	1.403502837485468e-05
1	CYSLTR2	1.3479435063124403e-05
1	RND1	1.2574566981128016e-05
1	SEMA6D	1.2572249117078807e-05
1	ADRB2	1.2331072038162771e-05
1	RGS16	1.2263734505794044e-05
1	GNA14	1.2175376390547932e-05
1	PLCG1	1.2154108896035783e-05
1	ADRA1A	1.2032896180607127e-05
1	PDE6G	1.2019841495479658e-05
1	TAS1R2	1.1865246141163836e-05
1	MAPK1	1.1262887543556031e-05
1	TAS1R1	1.109830863961299e-05
1	ADRA2B	1.0979494862113214e-05
1	RIC8B	1.0863137138537852e-05
1	MCF2	1.0843644329435309e-05
1	STRN	1.063110327609442e-05
1	TAS1R3	1.0435891291333153e-05
1	ADRA1B	1.0338594689103564e-05
1	F2RL2	1.0092003022072643e-05
1	RDX	1.0030223864336242e-05
1	ADRA1D	9.988122526749331e-06
1	SSTR5	9.981577278945314e-06
1	MAPK3	9.980679288269722e-06
1	RGS9	9.851032914746757e-06
1	SSTR2	9.799520048211285e-06
1	SSTR4	9.785690223119394e-06
1	SSTR1	9.785690223119394e-06
1	AAMP	9.701711292330171e-06
1	LYN	9.688566846721528e-06
1	SRC	9.521895961642335e-06
1	SSTR3	9.48116382674056e-06
1	S1PR3	9.444339080707e-06
1	P2RY2	9.240216054703875e-06
1	ARHGEF11	9.208849664883077e-06
1	PLCB4	9.178813432415991e-06
1	IFT80	9.098134784051118e-06
1	VANGL2	9.074082823097576e-06
1	FNTB	8.944012223434819e-06
1	EMD	8.928112320431415e-06
1	ADGRG1	8.921565949373904e-06
1	YES1	8.86428021562934e-06
1	ESR1	8.856117067294679e-06
1	RANBP9	8.807690275303192e-06
1	MRGPRX1	8.760473285019451e-06
1	F2RL3	8.691365812361214e-06
1	ARRB2	8.640032504650612e-06
1	RGS9BP	8.333317578351005e-06
1	RRAS	8.301353607839562e-06
1	CXCR4	8.112553527880766e-06
1	DOCK1	7.961296153962367e-06
1	CD81	7.946593250949139e-06
1	ARHGEF1	7.897542133176668e-06
1	FNTA	7.674665593709678e-06
1	OPRM1	7.54186138615037e-06
1	GPSM2	7.299922657159826e-06
1	FAM76B	7.265937030628312e-06
1	GRB2	7.191489426533195e-06
1	CMSS1	7.185360690174797e-06
1	PIK3R1	7.1594563698013595e-06
1	NR2F6	7.146642121016853e-06
1	CEMIP	7.131848494173949e-06
1	CBL	7.0666500687823215e-06
1	IGF1R	7.01864585201978e-06
1	ADO	7.009826686522228e-06
1	GCG	6.970787757451554e-06
1	LIN7B	6.822672000418461e-06
1	EPHA2	6.6992430756784935e-06
1	P2RY1	6.679125607902121e-06
1	PARD6A	6.669287937782898e-06
1	CYSLTR1	6.662308990133741e-06
1	GALR1	6.654085372882812e-06
1	RASD2	6.553759882063439e-06
1	TMEM201	6.41687205099844e-06
1	WDR26	6.400461594126483e-06
1	SLC22A12	6.223052835828572e-06
1	HACE1	6.131796243946104e-06
1	FN1	6.095789032030375e-06
1	EZR	5.9785928459921034e-06
1	PDYN	5.938156223690613e-06
1	ACP6	5.870237353416149e-06
1	SLC34A1	5.803274101681185e-06
1	SARNP	5.750118882026004e-06
1	OPN1MW	5.660939238124051e-06
1	PPP1R12A	5.617783832540118e-06
1	GNGT2	5.547525653462949e-06
1	AKT1	5.527259255558423e-06
1	OPN1SW	5.5169443505182374e-06
1	GRIK3	5.4731189907676175e-06
1	OPN1LW	5.441004669429916e-06
1	LMNA	5.4195553653385425e-06
1	PLCG2	5.3254260329785825e-06
1	ARHGAP35	5.291800030599579e-06
1	VEGFA	5.230693982805224e-06
1	KCNJ18	5.20661066818771e-06
1	PCP2	5.146427165020138e-06
1	LCK	5.1370239567677864e-06
1	SLC17A1	5.132719018986783e-06
1	TRAK2	5.095039785836496e-06
1	CRK	5.09158850475914e-06
1	PIP5K1C	5.085295393832915e-06
1	PDE6B	4.966922362551796e-06
1	SERPINH1	4.96176626046222e-06
1	PLXND1	4.94474934723597e-06
1	RHO	4.8790004177783194e-06
1	CDC42	4.8555127190120935e-06
1	GRK5	4.8299572045988156e-06
1	FGFR1	4.709852444253359e-06
1	CACNA1A	4.706811322231897e-06
1	NOX1	4.690138806897695e-06
1	ERBB2	4.664515406192227e-06
1	PDE6A	4.655017585071251e-06
1	RPLP1	4.60595462827626e-06
1	SEMA4A	4.605897841675923e-06
1	RAP1B	4.603462018105602e-06
1	GNAT1	4.578980038854554e-06
1	TRPM7	4.565028187647057e-06
1	HEPACAM	4.561241431730799e-06
1	REP15	4.523231464531056e-06
1	NHERF2	4.521913676643828e-06
1	TMEM120A	4.483255993081813e-06
1	NUMA1	4.458592876164633e-06
1	PAK1	4.425863508436853e-06
1	CALM1	4.423170499983715e-06
1	TRIO	4.4044405922404045e-06
1	HDAC5	4.358984159237296e-06
1	DNAJC14	4.352986203401648e-06
1	SNTG1	4.3485475105313596e-06
1	RRAS2	4.335973492828891e-06
1	PTK2	4.327879991969845e-06
1	CSNK2B	4.322836776761206e-06
1	DHX37	4.320898461549873e-06
1	MLC1	4.299044460878976e-06
1	PIGB	4.280320766577522e-06
1	SLC35F2	4.280320766577522e-06
1	GPER1	4.26110281054787e-06
1	VIPR2	4.241464768938273e-06
1	ITGB4	4.2387435652921875e-06
1	ELMO1	4.227135752083917e-06
1	PAG1	4.1778410547809475e-06
1	FDXR	4.146825092176689e-06
1	POMC	4.143864498341096e-06
1	AQP4	4.124129919723042e-06
1	AVPR2	4.114955062628616e-06
1	FES	4.107313602453255e-06
1	ADORA2B	4.102599116871522e-06
1	ITPR1	4.051906202815808e-06
1	HSP90AA1	4.034582907792891e-06
1	ADCY2	4.026382922154184e-06
1	PKDCC	4.019723544597751e-06
1	PDE2A	4.00641815002198e-06
1	RALA	3.995188606816842e-06
1	MPRIP	3.932188088736901e-06
1	TLN1	3.930278105791674e-06
1	SEMA6A	3.866126200624251e-06
1	GAP43	3.862906823261006e-06
1	TIAM1	3.85875613535835e-06
1	CDK5R1	3.847304940549548e-06
1	POMK	3.8435666402039656e-06
1	TRPC1	3.833863985145602e-06
1	MARCKS	3.785155098316834e-06
1	RGS4	3.738910485777416e-06
1	EGFR	3.7185908302025246e-06
1	KCTD8	3.715264265812762e-06
1	ZNF585B	3.7005652749728603e-06
1	RGS19	3.694941510484188e-06
1	KCTD12	3.684595443085837e-06
1	PARD3	3.679264247222884e-06
1	SCAMP5	3.663964498221434e-06
1	NUCB1	3.6622736567117828e-06
1	TRPV4	3.5838549205172534e-06
1	TAMALIN	3.5827656544762934e-06
1	PAK3	3.5784830413208077e-06
1	TLR6	3.575075584349507e-06
1	PIK3R6	3.5721549496621327e-06
1	PTGES3L-AARSD1	3.538586269606719e-06
1	NCK1	3.52501030465808e-06
1	KALRN	3.5242895786223257e-06
1	ATF5	3.506737673602851e-06
1	MLF2	3.5066553624515485e-06
1	SS18L2	3.49482250906175e-06
1	GRK2	3.4917078326947695e-06
1	TRIM2	3.47908240351498e-06
1	CRIP2	3.4770429396613027e-06
1	BRIP1	3.413124414306985e-06
1	CCDC7	3.408367812130852e-06
1	SHC1	3.402818383979782e-06
1	PKD1	3.3989460840585156e-06
1	FNBP4	3.398600637319295e-06
1	CHRM3	3.3981153231485797e-06
1	GRIA2	3.3738079739034917e-06
1	SEMA3C	3.3569501828301792e-06
1	ADHFE1	3.354834285302266e-06
1	VAV1	3.3519004783097145e-06
1	SMPDL3B	3.3507098319591676e-06
1	UBE2G2	3.3469855039014835e-06
1	ZNHIT3	3.3392076986083097e-06
1	VEGFC	3.3282089750859842e-06
1	VEGFD	3.3014354840287485e-06
1	SMO	3.2774362575016975e-06
1	PRKCQ	3.270035186435248e-06
1	APC	3.25789096932764e-06
1	HDAC4	3.2453632733189773e-06
1	PALM	3.2370763123328987e-06
1	ITPR3	3.218479331504097e-06
1	ITGAV	3.214530880748866e-06
1	GLIPR2	3.20809364647274e-06
1	FGFR2	3.2000304686272595e-06
1	RHOD	3.1817165919301994e-06
1	CXADR	3.1619176822882014e-06
1	DLG1	3.1514391378240343e-06
1	METTL16	3.1390836013600206e-06
1	CSNK1G3	3.1151235753971667e-06
1	SLC15A5	3.113839073447396e-06
1	SAPCD2	3.1039184041039766e-06
1	GLP1R	3.0972854109052192e-06
1	PIN1	3.08462890833581e-06
1	UBXN4	3.074739961168756e-06
1	HGF	3.0727619186961613e-06
1	ACTN2	3.072275826947901e-06
1	GHRL	3.06964005567594e-06
1	GTPBP1	3.068785005914921e-06
1	AKAP3	3.0526296619734587e-06
1	ARRB1	3.0437516269041188e-06
1	ERICH5	3.0265870124231085e-06
1	CADM2	3.0205301348558653e-06
1	GRIN2A	2.9979604767102046e-06
1	PAK2	2.9884755415267477e-06
1	CYRIB	2.9867601313490308e-06
1	IQGAP1	2.9741597791929094e-06
1	ARHGEF6	2.9427201308874976e-06
1	PIGL	2.937615240609011e-06
1	PLPP6	2.9316920577681807e-06
1	RAB2A	2.93150429438347e-06
1	ATP1B1	2.917665471206076e-06
1	CCNY	2.9139518465443525e-06
1	SLC9A3R1	2.8992937658244448e-06
1	RAF1	2.8857671160188343e-06
1	CIT	2.8853536274338405e-06
1	CXCR5	2.8775672521982692e-06
1	RND2	2.86942479320482e-06
1	RGS10	2.85699078808567e-06
1	ITGAL	2.842562173653619e-06
1	ELAVL1	2.826039997866004e-06
1	KCNMA1	2.800568582924031e-06
1	GP6	2.785151005925864e-06
1	CDK5	2.7833165203986547e-06
1	STRIT1	2.7751957011346085e-06
1	PSMD2	2.7658627458220475e-06
1	ACTB	2.7574281121496482e-06
1	DOCK3	2.754793484948039e-06
1	HTR2A	2.7455250010768506e-06
1	MEX3B	2.7412926769978086e-06
1	ITGB1	2.726964992135567e-06
1	RASA1	2.714784244953181e-06
1	CXCR2	2.6754308195700946e-06
1	LUM	2.6741631003466496e-06
1	CNPY2	2.6514687111521026e-06
1	SLC9A3	2.625679073567895e-06
1	MEAK7	2.606571453547507e-06
