multiplex	node	score
1	ITGB1	0.002228775952649787
1	FBN1	0.0021162411380697787
1	ITGA4	0.002072494461986335
1	GRB2	0.0020233702654841017
1	ITGAV	0.00201895236335382
1	ITGA9	0.002001893437202518
1	ITGB3	0.0019535765353298103
1	MFAP5	0.0019471129540404035
1	GTF2IRD2B	0.0019438500446597546
1	FN1	0.0019415537052098872
1	MFAP2	0.0019414477122975012
1	VEGFA	0.0019309434519434003
1	MADCAM1	0.0019292880727502185
1	MFAP4	0.0019248548674021297
1	ELN	0.0019191300338453636
1	PSAT1	0.0019119121582016323
1	PIK3R1	0.0019089528099273
1	FBLN5	0.0018978759712882677
1	ITGB7	0.0018928632664820147
1	METTL27	0.0018883007221976663
1	MIIP	0.0018879011289283025
1	TRMT112	0.0018858276480484756
1	ADAM19	0.001885792780097918
1	TMEM270	0.001883057382275709
1	PLXNB1	0.0018820455493834566
1	BUD23	0.0018802153024021974
1	JAM3	0.0018788869216643572
1	GTF2IRD1	0.0018780941727581176
1	LOX	0.0018704075651050762
1	MLX	0.0018703621090771507
1	FLT1	0.0018687183316974066
1	CDH1	0.0018682204695925392
1	MLXIPL	0.0018652720155051912
1	PLCG1	0.0018647175947073102
1	LOXL1	0.0018619683110522184
1	MUSK	0.0018617249302655418
1	VEGFB	0.001858465927786455
1	CRK	0.0018539199298104891
1	CBL	0.0018459559866066694
1	SOS1	0.001844980387144616
1	VCAM1	0.0018390589071729348
1	SRC	0.0018384544359782752
1	SH3PXD2A	0.0018296231989370906
1	ITGAE	0.0018167270141159644
1	SHC1	0.0018165432584000875
1	LRP4	0.001815244466740752
1	MET	0.0018104960994941128
1	EGFR	0.001807408531390776
1	SPP1	0.001807062451440381
1	SEMA4D	0.0018068694753837799
1	NRP2	0.0018068424000276934
1	ADAM15	0.0018046674601526443
1	JAM2	0.001801257818380465
1	GAB1	0.0018008110581388319
1	CLIP2	0.0017983233832605562
1	AGRN	0.0017963954672690287
1	FBN2	0.001791024713188654
1	LTBP1	0.001790569677237543
1	LCP2	0.0017901146009885432
1	SYK	0.0017898757955924322
1	PTK2	0.0017842538037634744
1	EMILIN1	0.0017796322065671685
1	NRP1	0.0017791933878484442
1	ITGB6	0.00177869583180377
1	ERBB2	0.0017759359569395566
1	LIMK1	0.001775566646008936
1	MFAP3	0.0017750050327127642
1	VPS37D	0.001775001707666551
1	FBLN2	0.0017744383754215091
1	FYN	0.0017664802565178417
1	DNAJC30	0.0017621141175064357
1	CRKL	0.0017611217112256797
1	PGF	0.0017599982006470058
1	PLCG2	0.001758344410956636
1	BCL7B	0.0017549735633380038
1	LYN	0.0017549640627752552
1	TNC	0.0017527708470052234
1	BCAR1	0.0017526183995095954
1	PLXNA1	0.0017487010073098312
1	RFC2	0.0017478376575569023
1	NCF1	0.001745131974374591
1	ITGA2B	0.0017427065730112818
1	ITGA5	0.0017410909352288495
1	TGFB3	0.001739744900831417
1	GTF2IRD2	0.0017334415315790963
1	PTPN11	0.0017321362794960253
1	VAV1	0.0017318671492557102
1	GTF2I	0.0017301702660570235
1	ITGB5	0.0017241981638782937
1	RET	0.0017240923466426692
1	THBS1	0.0017223282219432853
1	LAT	0.0017219687015636548
1	L1CAM	0.0017199433576239687
1	PDGFRA	0.0017188410265667183
1	TLN1	0.0017141591538592823
1	PXN	0.0017126326507445556
1	SHC3	0.0017119151763073642
1	SH3KBP1	0.001708680027440385
1	GAB2	0.0016968725713189757
1	TBL2	0.0016928137241617473
1	PTK2B	0.0016874839270180262
1	ITGA3	0.0016845759283127782
1	MEMO1	0.001677901065415142
1	ZAP70	0.00167763575849126
1	VCL	0.0016745560492202117
1	SH3GL2	0.0016744515198819615
1	VTN	0.0016687053329079962
1	SMARCA5	0.0016609636629144144
1	BAZ1B	0.0016588923575057365
1	ADAM12	0.0016453112847493725
1	LCK	0.001631120188233743
1	ITK	0.001627307209382444
1	HGF	0.0016206188470315548
1	EIF4H	0.0016183060419294318
1	STX1A	0.001615898033008058
1	GRAP2	0.001613819409393005
1	FCGR1A	0.0015987674070951738
1	RAPGEF1	0.0015968554108943584
1	FKBP6	0.0015543955429872711
1	KDR	2.1376367133503208e-05
1	TGFBR2	2.0802678187165868e-05
1	PIK3R2	2.0795196002497676e-05
1	ARTN	2.0129529943183886e-05
1	GFRA3	2.0058522826017885e-05
1	CTNNB1	1.9797344225986616e-05
1	RANBP9	1.9769947445269364e-05
1	GAREM1	1.9628426086073226e-05
1	FGG	1.9450998140454324e-05
1	ITGA8	1.9072299331577516e-05
1	PTPN23	1.8811616482522383e-05
1	ERBB3	1.868068454034586e-05
1	CDC42	1.8675138596654613e-05
1	USP8	1.8671961846476762e-05
1	DOCK1	1.827519460066649e-05
1	CD247	1.814129892187514e-05
1	BLNK	1.781842564178402e-05
1	FGFR2	1.7769616843877957e-05
1	HSP90AA1	1.763137074918641e-05
1	HGS	1.7587672334493393e-05
1	ITGA2	1.741998493908374e-05
1	GRB7	1.7410816403811248e-05
1	NCK2	1.7330756953921597e-05
1	PIK3CA	1.7097781836844146e-05
1	NCK1	1.6696793840020016e-05
1	MAPK1	1.664293005335268e-05
1	STAM2	1.6635057349738642e-05
1	SH3GL3	1.646845285618943e-05
1	ITGB4	1.6456075051473286e-05
1	DNAJA4	1.6395070068283855e-05
1	YES1	1.630993275226807e-05
1	SHB	1.6235364049408843e-05
1	CD3E	1.6039393372861388e-05
1	ITGA6	1.6024266611731272e-05
1	FGFR1	1.5945407039003845e-05
1	LDLR	1.5656454766951043e-05
1	TGFB1	1.5635714945618114e-05
1	WAS	1.5589118640589797e-05
1	SIRT5	1.551668524150971e-05
1	NCAN	1.5409824083882915e-05
1	VEGFC	1.5326391371916184e-05
1	ADAM9	1.507172332928318e-05
1	VEGFD	1.482244896526913e-05
1	CIB1	1.479142199203467e-05
1	PAK2	1.4676863204290256e-05
1	GGNBP2	1.4668976514049406e-05
1	AKAP10	1.461720256432683e-05
1	TGFBR1	1.4611453807654901e-05
1	IGHM	1.457445251365592e-05
1	ZFP41	1.4499639034661927e-05
1	PRKCA	1.4137051934280398e-05
1	SNAP25	1.3942250695443432e-05
1	RAC1	1.3873102252711216e-05
1	ARHGEF11	1.3325200633351465e-05
1	PLPP3	1.3316923841472632e-05
1	ADAM8	1.3289517526456412e-05
1	PDE4DIP	1.3287116736401685e-05
1	SOCS3	1.3005304522531933e-05
1	ITGA1	1.2822083832159539e-05
1	RND1	1.2769685722825077e-05
1	LTBP3	1.2727891060834642e-05
1	CD47	1.2626940874239487e-05
1	PDGFB	1.2590286470532588e-05
1	LRP1B	1.2364673939409762e-05
1	EPS15	1.23574754552958e-05
1	ARHGEF12	1.2178833307687631e-05
1	MMP14	1.2166744157347417e-05
1	HMBOX1	1.2107575222182342e-05
1	PAK1	1.2058152778223333e-05
1	SEMA3A	1.2021943126964908e-05
1	TEC	1.1639020255950969e-05
1	ADAM10	1.1637214698054147e-05
1	MMP2	1.158066710730174e-05
1	CD19	1.1493826001942119e-05
1	CD8A	1.1437030326169255e-05
1	PARVA	1.1367446001258145e-05
1	ESR1	1.1364003691739209e-05
1	STXBP1	1.1355462788067134e-05
1	PIK3CB	1.131264377611999e-05
1	IGF1R	1.1255996230158248e-05
1	FBLN1	1.1227185955662289e-05
1	MAPK3	1.1224980418855821e-05
1	TMEM201	1.114712387518115e-05
1	TLL1	1.1087911489692564e-05
1	BAZ2A	1.087400644771174e-05
1	DLG4	1.0830876439336324e-05
1	TRMT11	1.0799478541222944e-05
1	EPHA1	1.0793515621472517e-05
1	PNPLA6	1.0768277113738946e-05
1	UBE3D	1.0753663641993219e-05
1	DAG1	1.0751245333887568e-05
1	WIPF1	1.064237730391034e-05
1	ADAM17	1.0591302613394025e-05
1	ELMO1	1.0586407422693424e-05
1	RFFL	1.0545857815751811e-05
1	FARP2	1.0529847460004489e-05
1	SH3GL1	1.0508756838370246e-05
1	GORAB	1.0472365435058857e-05
1	IRS1	1.0453904932818497e-05
1	ITGB8	1.042118594585399e-05
1	ITGA7	1.038784707735869e-05
1	SEMA6D	1.032191754367762e-05
1	CD3G	1.0319863802138054e-05
1	JAK1	1.0318393198122292e-05
1	PDGFRB	1.0264814930893341e-05
1	CDC37	1.025548265716613e-05
1	ITGB2	1.0147267472989744e-05
1	SELL	1.0124570170312963e-05
1	LMNB2	1.0123693485434069e-05
1	TGM2	1.0118389254735036e-05
1	JUP	1.0098904744356947e-05
1	INSR	1.0081918958785577e-05
1	SORBS2	9.887751277582222e-06
1	RAP1A	9.804974208529234e-06
1	ABL1	9.61208970112053e-06
1	SREBF2	9.370138413429954e-06
1	LAMA5	9.358756280934874e-06
1	PIK3CD	9.336290942353685e-06
1	DIAPH1	9.240579675738423e-06
1	ILK	9.240034674669128e-06
1	STAM	9.100901936304007e-06
1	THBS2	9.072553218748036e-06
1	ITGAM	9.016025453118505e-06
1	MAPRE1	8.975245642677109e-06
1	PRAG1	8.92374802526093e-06
1	SOST	8.908395633681733e-06
1	HSP90AB1	8.857518035163347e-06
1	LTBP4	8.77623454253284e-06
1	PIK3C2B	8.773502680785452e-06
1	APOA1	8.674557347072535e-06
1	RASA1	8.664666534336075e-06
1	COMP	8.6579331206691e-06
1	PDGFA	8.601790872239733e-06
1	VAMP2	8.598964195754823e-06
1	GSPT1	8.584137597733976e-06
1	PLXNA2	8.556212285411193e-06
1	GDF15	8.515416707413071e-06
1	CD2AP	8.374408280924258e-06
1	CD53	8.322438604778606e-06
1	ZIC2	8.284887188347183e-06
1	DNAJC18	8.284887188347183e-06
1	ABI1	8.190584592204927e-06
1	WASL	8.177157157937492e-06
1	ARHGEF7	8.176547826271889e-06
