,Gene symbol,Nb of communities,degree PPI ntw,degree Pathways ntw,degree Coexp ntw,degree Complexes ntw,max degree,sum degrees
1785,RPGRIP1,1,28,,1471,1,1471,1500
1786,CPVL,1,1,,,2,2,3
1787,CYB5A,1,8,1,218,,218,227
1788,CYB5B,1,48,3,,2,48,53
1765,UACA,1,15,3,,11,15,29
1764,C20orf85,1,22,,38,,38,60
1763,CENPN,1,7,,,23,23,30
1750,CYS1,1,,2,75,,75,77
1740,NCR3LG1,1,10,3,,,10,13
1741,PIK3CG,1,9,11,,,11,20
1742,PIK3R6,1,9,3,,,9,12
1743,NCR3,1,5,3,,1,5,9
1744,ADAMTSL2,1,3,,,,3,3
1745,CYP4A11,1,2,,457,,457,459
1746,ADAMTS2,1,3,,,,3,3
1747,CD247,1,9,59,95,1,95,164
1748,CD3E,1,15,35,133,,133,183
1749,GRB7,1,54,21,,1,54,76
1751,MTARC1,1,3,3,,,3,6
1762,B9D1,1,2,,,3,3,5
1752,EPS15L1,1,14,,,2,14,16
1753,TROAP,1,18,,,2,18,20
1754,TTC30B,1,1,,,21,21,22
1755,TBC1D13,1,5,,,2,5,7
1756,CYCS,1,31,9,,7,31,47
1757,TMEM231,1,5,,9,3,9,17
1758,UNC119B,1,2,4,,2,4,8
1759,APAF1,1,7,9,,4,9,20
1760,OSTF1,1,53,,,5,53,58
1761,SLC44A2,1,2,,,3,3,5
835,FITM2,1,2,,25,7,25,34
1472,GTF2B,1,53,7,,63,63,123
1490,CARS1,1,4,,,,4,4
1205,CLEC4M,1,2,,335,2,335,339
1195,TMEM161B,1,,,,2,2,2
1196,KCNJ5,1,2,7,15,,15,24
1197,GNAS,1,6,,,21,21,27
1198,RIC8A,1,24,,,11,24,35
1199,GNB2,1,55,7,,22,55,84
1200,RGS20,1,55,1,,3,55,59
1201,BTN2A1,1,6,1,,4,6,11
1202,GNAO1,1,17,2,,59,59,78
1203,HTR1B,1,3,,,4,4,7
1204,GCGR,1,3,5,263,,263,271
1206,PTGER3,1,23,,,3,23,26
1218,GABBR2,1,11,13,,2,13,26
1207,KCNJ6,1,58,7,,,58,65
1208,PLCB3,1,2,10,33,15,33,60
1209,GNG12,1,3,,,10,10,13
1210,HTR1D,1,,,,3,3,3
1211,OCIAD1,1,11,,,7,11,18
1212,BTK,1,22,43,,2,43,67
1213,PTGIR,1,7,2,,,7,9
1214,ADCY3,1,2,1,,,2,3
1215,KCNJ2,1,9,9,,,9,18
1216,GNAT2,1,1,9,,3,9,13
1194,KCNJ4,1,4,9,,,9,13
1193,KCNJ9,1,1,7,,,7,8
1192,RGS12,1,5,,,5,5,10
1191,GNG7,1,8,,,15,15,23
1170,GNA15,1,7,30,,,30,37
1171,GNAL,1,2,7,,7,7,16
1172,GNB4,1,15,7,,22,22,44
1173,MTNR1B,1,112,,,2,112,114
1174,GABBR1,1,20,13,,1,20,34
1175,GNG11,1,7,,,16,16,23
1176,GNG8,1,1,,,7,7,8
1177,GNG10,1,6,,,15,15,21
1178,RAP1GAP,1,10,11,,12,12,33
1179,GNG2,1,12,67,,77,77,156
1180,PTK7,1,40,,,4,40,44
1181,ICAM2,1,3,1,,,3,4
1182,KCTD16,1,2,,,2,2,4
1183,MTNR1A,1,139,,,3,139,142
1184,PDZK1,1,27,,82,8,82,117
1185,ADRA2C,1,13,3,,,13,16
1186,CNNM4,1,,,,1,1,1
1187,PDCL,1,9,13,,9,13,31
1188,KCNJ10,1,1,8,,8,8,17
1189,BTN2A2,1,42,,,4,42,46
1190,P2RY12,1,,6,,2,6,8
1217,GNB1,1,49,71,,35,71,155
1219,GNAI3,1,23,7,,14,23,44
1489,HEXIM1,1,6,,,14,14,20
1256,PRKAR2B,1,13,10,6,7,13,36
1246,DDR2,1,4,,,3,4,7
1247,LRRK2,1,203,5,,5,203,213
1248,AKAP5,1,11,12,,14,14,37
1249,DPP3,1,8,,,3,8,11
564,SCOC,1,16,1,,1,16,18
1251,CDK5RAP2,1,24,,,8,24,32
1252,PRKAR1B,1,76,10,,13,76,99
1253,SELENOI,1,5,,,,5,5
563,TAMALIN,1,4,,,1,4,5
1255,PRKAR1A,1,57,10,,8,57,75
1257,USP54,1,85,,,2,85,87
1220,GNA13,1,7,12,,26,26,45
1258,OSBPL11,1,1,,,5,5,6
1259,STUB1,1,104,5,,11,104,120
1260,RNF128,1,9,2,,,9,11
1261,CLINT1,1,4,4,,7,7,15
562,PLEKHA3,1,8,1,,1,8,10
1263,PPAT,1,2,,,4,4,6
1264,UBE2G1,1,8,,65,1,65,74
1265,UBE2D3,1,116,23,,5,116,144
1266,PIR,1,5,,,3,5,8
1267,ANKRD26,1,6,,,6,6,12
1245,KCNE5,1,6,,,1,6,7
1244,SCARA5,1,15,2,,,15,17
1243,RGS14,1,11,,,3,11,14
1242,S1PR2,1,1,,,10,10,11
1221,S1PR1,1,5,,,9,9,14
1222,GNAT3,1,,12,35,3,35,50
1223,KCNJ3,1,,7,,,7,7
1224,RGS17,1,46,1,,,46,47
1225,MAGED2,1,4,,,4,4,8
1226,GPR26,1,,,,1,1,1
1227,GPR39,1,2,,,,2,2
1228,GNAI1,1,26,7,,27,27,60
1229,FARP2,1,2,10,,8,10,20
1230,GNG3,1,9,,,13,13,22
1231,GNAZ,1,12,8,,24,24,44
1232,KCNJ14,1,,3,,,3,3
1233,GNAQ,1,13,30,,10,30,53
1234,HTR1A,1,5,,,6,6,11
1235,TYW1B,1,1,,,3,3,4
1236,GNG4,1,9,,,15,15,24
1237,KCNJ12,1,2,9,84,,84,95
1238,GNGT1,1,9,5,76,7,76,97
1239,GNA12,1,4,11,,6,11,21
1240,ADRA2A,1,7,3,,1,7,11
1241,RGS7,1,8,1,,1,8,10
1169,CD209,1,14,3,,2,14,19
1168,PLCB1,1,9,10,,5,10,24
1167,ANKRD13B,1,1,,,3,3,4
596,SELENOK,1,39,,,10,39,49
1078,PRL,1,4,13,83,1,83,101
1079,CSH2,1,7,,117,1,117,125
604,NRAP,1,4,,371,,371,375
603,DDX42,1,12,,,8,12,20
602,ZFP14,1,2,,,,2,2
1083,PRLR,1,5,13,47,1,47,66
1084,CSH1,1,6,13,117,1,117,137
601,PKHD1,1,2,,52,1,52,55
600,MAGT1,1,11,,,7,11,18
598,RNF7,1,22,,,8,22,30
593,STT3A,1,8,,,11,11,19
1166,KCNJ15,1,2,5,38,,38,45
589,RPLP2,1,11,,,127,127,138
587,RGSL1,1,2,,1392,,1392,1394
1100,DLG4,1,86,60,,8,86,154
1101,GRIN2A,1,9,22,,3,22,34
1102,GOPC,1,58,2,,5,58,65
1103,PREX1,1,6,1,,,6,7
1105,EPHB4,1,3,,,6,6,9
585,GBF1,1,3,13,,11,13,27
1107,EPHA5,1,2,,,10,10,12
1108,TIAM1,1,12,12,,3,12,27
605,RPN2,1,15,,,13,15,28
608,FAM3D,1,1,,,1,1,2
610,FABP5,1,,2,78,49,78,129
611,PLEKHA8,1,,1,,,1,1
631,CHCHD6,1,3,,,14,14,17
630,APOO,1,,,,10,10,10
629,CARD19,1,1,,,10,10,11
627,CCDC127,1,1,,,7,7,8
635,SAMM50,1,4,2,,13,13,19
625,APOOL,1,,,,10,10,10
624,CHCHD3,1,59,,,14,59,73
623,MTX1,1,1,2,,10,10,13
621,MICOS13,1,11,,,10,11,21
619,MTX2,1,6,2,,14,14,22
618,MTX3,1,,,,7,7,7
617,MICOS10,1,5,,,10,10,15
1063,GH2,1,,23,117,,117,140
616,NAA35,1,1,3,,15,15,19
636,IMMT,1,75,,,14,75,89
1066,SOCS2,1,18,6,,,18,24
614,TUSC3,1,1,,,6,6,7
613,SYS1,1,21,2,,,21,23
1069,GH1,1,2,23,,,23,25
612,PKD2,1,16,,,6,16,22
1071,GHR,1,18,15,241,,241,274
1110,DLG3,1,31,45,,2,45,78
1111,RHOQ,1,17,8,,,17,25
1113,DLG2,1,30,36,,,36,66
568,NAA30,1,,3,,1,3,4
565,CYTH2,1,13,1,,3,13,17
1146,DYNLL1,1,68,50,,28,68,146
1147,SHANK3,1,168,14,,2,168,184
1148,YES1,1,71,17,,21,71,109
1149,GJB6,1,12,,,7,12,19
1150,TTC39A,1,1,,,2,2,3
1151,TRO,1,4,,,7,7,11
1152,KCNJ16,1,,9,,,9,9
1153,GNB3,1,11,13,,13,13,37
1154,TMX4,1,1,,,4,4,5
1155,GNA11,1,,30,6,29,30,65
1156,TBXA2R,1,31,9,,,31,40
1157,ARHGEF25,1,1,4,,2,4,7
1158,GNG5,1,12,,,15,15,27
1159,ICAM3,1,12,1,,,12,13
1160,PLXNA2,1,7,15,,3,15,25
1161,CNNM2,1,,,,5,5,5
1162,PRKCA,1,73,21,,25,73,119
1163,GNAI2,1,30,7,,13,30,50
1164,GNG13,1,32,8,,7,32,47
1165,GNB5,1,32,6,,15,32,53
567,ZYG11B,1,4,,2,,4,6
1141,SIPA1L1,1,2,9,,35,35,46
582,PRCC,1,8,,,1,8,9
1140,EFNB1,1,6,29,,8,29,43
1115,DYNLL2,1,35,50,,20,50,105
1116,DLGAP1,1,22,12,,5,22,39
581,ARFIP2,1,63,1,,9,63,73
1120,DLG1,1,93,22,,16,93,131
1121,GRIN1,1,9,36,,2,36,47
578,HSP90B1,1,84,3,,18,84,105
1123,DIP2B,1,,,,6,6,6
1124,GRIN2B,1,16,38,,,38,54
576,RPN1,1,36,,,13,36,49
575,CSDE1,1,9,,,5,9,14
1128,CFTR,1,12,31,,5,31,48
1129,DLC1,1,35,1,,2,35,38
574,ARFRP1,1,2,5,,,5,7
573,CYTIP,1,9,,,3,9,12
572,DDOST,1,9,,,13,13,22
1133,CHRNA7,1,7,,,2,7,9
1134,EFNB2,1,9,29,,6,29,44
1135,ITSN1,1,83,8,,3,83,94
571,DERL1,1,26,,,17,26,43
1137,EPHB3,1,6,,66,6,66,78
1138,SDC3,1,23,,,6,23,29
1268,PRKACB,1,17,26,,9,26,52
1269,UBE4B,1,6,,,2,6,8
1270,CEP68,1,8,,,9,9,17
1427,POLR3A,1,7,,,12,12,19
1417,VBP1,1,39,,,9,39,48
1418,PFDN5,1,123,,,7,123,130
1419,PAPSS2,1,4,,,3,4,7
1420,AOX1,1,6,,274,7,274,287
1421,PFDN4,1,3,,,7,7,10
1422,PFDN2,1,19,,,31,31,50
1423,PFDN6,1,13,,,7,13,20
1424,LRCH3,1,5,,,7,7,12
1425,UXT,1,33,,,7,33,40
1426,RPAP3,1,15,,,7,15,22
1428,DNAAF10,1,1,,,7,7,8
271,C5,1,14,21,486,,486,521
1429,PIH1D1,1,25,,,7,25,32
1430,PTPN22,1,4,19,,,19,23
1431,MYD88,1,32,36,,1,36,69
1432,SARM1,1,2,6,,10,10,18
1433,IRAK3,1,18,,67,1,67,86
1434,TLR4,1,21,41,,2,41,64
1435,IRAK4,1,11,37,,3,37,51
1436,SPOP,1,59,5,,5,59,69
829,A2M,1,125,4,,23,125,152
1438,IRAK2,1,5,28,,1,28,34
1416,URI1,1,18,,,15,18,33
1415,PDRG1,1,3,,,23,23,26
1414,IQGAP1,1,25,20,,38,38,83
1413,PFDN1,1,53,,,7,53,60
268,C9,1,3,9,486,,486,498
267,PLAUR,1,11,6,119,10,119,146
696,CEP152,1,2,,,1,2,3
697,TRAIP,1,32,,,3,32,35
699,CENPE,1,13,,,,13,13
700,CEP63,1,68,,,1,68,69
701,NUP85,1,5,,,27,27,32
257,CFHR1,1,1,1,486,,486,488
703,PCNT,1,7,28,58,2,58,95
704,ABRAXAS1,1,2,18,,5,18,25
996,B4GALT7,1,6,,,,6,6
822,GPR89B,1,2,,,9,9,11
823,SIGMAR1,1,7,,248,5,248,260
913,ENPP1,1,1,,,,1,1
824,TJP1,1,6,4,,25,25,35
825,BDKRB2,1,30,1,,,30,31
826,GJA1,1,11,2,,11,11,24
827,ANKFY1,1,5,1,,1,5,7
828,ENOPH1,1,6,,,1,6,7
1411,POLR3E,1,1,1,,15,15,17
1412,POLR3D,1,13,1,,12,13,26
1439,IRF7,1,9,26,,,26,35
1440,PELI1,1,17,9,3,3,17,32
1441,IRAK1,1,8,48,,5,48,61
1466,GTF2H3,1,10,,,36,36,46
1468,CCNK,1,52,15,,6,52,73
1469,POU2F1,1,34,5,,17,34,56
1470,RNF113A,1,10,,,16,16,26
1471,CTDP1,1,1,14,,22,22,37
633,DNAJC11,1,5,,,15,15,20
1473,TARS1,1,8,,,,8,8
1474,RNF26,1,10,,,1,10,11
1475,PRMT1,1,57,10,,19,57,86
1476,BRF1,1,3,3,,8,8,14
1477,BRF2,1,,4,3,,4,7
1478,GTF3C4,1,1,,,10,10,11
1479,GTF2F1,1,14,22,,45,45,81
1480,CDK13,1,9,1,,5,9,15
831,ALG8,1,12,,,4,12,16
1482,GTF2H5,1,8,,,10,10,18
1483,GTF2F2,1,30,22,,31,31,83
1484,GTF3C5,1,10,,,10,10,20
1485,GTF2E2,1,7,7,,28,28,42
1486,POU2F2,1,4,2,,5,5,11
1487,GTF2A1,1,16,14,,18,18,48
832,BDKRB1,1,32,1,,,32,33
1467,GTF2E1,1,12,7,,37,37,56
1465,GTF3C2,1,2,,,10,10,12
1442,TICAM2,1,6,23,,11,23,40
1464,SUPT5H,1,39,16,,10,39,65
1443,TICAM1,1,4,24,,2,24,30
1444,CD14,1,9,36,,,36,45
1445,LRSAM1,1,44,,,3,44,47
1446,LIPF,1,2,,54,3,54,59
1447,GTF3C3,1,62,,,10,62,72
1448,CCNT1,1,8,16,,35,35,59
1449,GTF3C1,1,20,,,10,20,30
1450,SUPT4H1,1,9,12,,10,12,31
1451,MPLKIP,1,3,,179,4,179,186
1452,ZNF143,1,22,6,,3,22,31
1453,GTF3A,1,3,3,,8,8,14
1454,GTF2H2,1,8,,,29,29,37
1455,GTF2A2,1,3,14,827,18,827,862
1456,CARM1,1,14,7,4,9,14,34
1457,DDX5,1,28,11,,183,183,222
1458,GTF2H4,1,6,,,43,43,49
1459,BDP1,1,6,6,,8,8,20
1460,CCNT2,1,3,13,,11,13,27
1461,GTF2H1,1,27,,,38,38,65
830,AGPAT4,1,29,,,7,29,36
1463,CDK9,1,21,18,,39,39,78
1387,ATP6V1A,1,6,,,21,21,27
1384,ATP6V1E1,1,10,,,11,11,21
1271,AKAP11,1,8,,,13,13,21
1308,DNAJC7,1,13,3,,8,13,24
1298,KCNQ1,1,3,3,,8,8,14
1299,PRKACA,1,57,38,,13,57,108
1300,NPEPL1,1,6,,,3,6,9
1301,AKAP3,1,7,,1463,6,1463,1476
1302,SIRT5,1,1,1,,3,3,5
1303,DNAJA1,1,19,6,,5,19,30
1304,TOM1L2,1,6,,,2,6,8
555,DNAJC10,1,2,,,,2,2
554,C11orf68,1,14,,,1,14,15
1307,UBL7,1,14,,,2,14,16
1309,MYCBP,1,18,,,3,18,21
273,MLX,1,29,1,,,29,30
1311,BAG3,1,88,,,3,88,91
1312,HELZ,1,3,,,2,3,5
1313,ECHDC1,1,4,,,5,5,9
1314,KCNE1,1,4,4,,2,4,10
1315,PDCD6,1,16,,,8,16,24
1316,CCDC117,1,2,,496,5,496,503
1317,AKAP1,1,6,8,,3,8,17
551,CYTH4,1,28,1,,,28,29
550,GNL2,1,2,,,,2,2
548,LMO7,1,8,,,13,13,21
1297,OSBPL9,1,6,,,5,6,11
1296,UBE2V2,1,21,34,,5,34,60
1295,AKAP9,1,90,3,,10,90,103
1294,FKBP4,1,9,9,,4,9,22
1272,ANXA11,1,15,,,8,15,23
1273,KCNH2,1,7,2,,3,7,12
1274,ENDOG,1,1,,,5,5,6
1275,SH3D19,1,5,4,,,5,9
1276,UQCRQ,1,3,,,5,5,8
1277,KCNB1,1,11,,,2,11,13
1279,KCNE2,1,1,4,54,3,54,62
1280,HSPB8,1,18,,,3,18,21
1281,FTL,1,37,5,,2,37,44
560,ARL1,1,7,4,,3,7,14
1283,PRKACG,1,3,26,1472,6,1472,1507
1284,PRKAR2A,1,18,12,,17,18,47
559,CYTH1,1,17,1,,3,17,21
558,CYTH3,1,8,1,,4,8,13
1287,RADX,1,3,,,5,5,8
1288,OTUB1,1,61,4,,15,61,80
1289,FTH1,1,39,5,,2,39,46
1290,GPR161,1,9,6,,6,9,21
1291,PUM1,1,8,4,,2,8,14
1292,CHORDC1,1,9,,,3,9,12
557,COX10,1,1,,,,1,1
1324,MATCAP2,1,2,,,,2,2
546,DAD1,1,2,,,7,7,9
545,ARF1,1,24,10,,9,24,43
343,ALDH18A1,1,6,,,2,6,8
330,TBL2,1,1,,909,3,909,913
693,UIMC1,1,19,18,,6,19,43
319,BAZ1B,1,8,4,,30,30,42
317,CLIP2,1,3,,,4,4,7
694,PLK4,1,24,,,,24,24
311,TRMT112,1,7,6,,1,7,14
304,RFC2,1,5,,,48,48,53
299,TMEM270,1,,,1472,,1472,1472
297,GTF2I,1,23,,,33,33,56
295,SMARCA5,1,11,8,,94,94,113
293,BCL7B,1,4,,,30,30,34
291,NCF1,1,29,19,,,29,48
290,BUD23,1,5,1,,1,5,7
282,METTL27,1,52,,,,52,52
281,VPS37D,1,3,11,,,11,14
279,DNAJC30,1,29,,,4,29,33
278,MLXIPL,1,2,8,,,8,10
277,EIF4H,1,11,10,,15,15,36
276,MIIP,1,32,,,1,32,33
275,FKBP6,1,45,1,1472,6,1472,1524
274,LIMK1,1,9,12,,1,12,22
339,RANBP3L,1,6,,,2,6,8
348,CDC25B,1,8,4,,1,8,13
544,PPARD,1,34,2,,1,34,37
356,GMNN,1,23,1,,18,23,42
543,STT3B,1,11,,,6,11,17
541,SELENOS,1,5,,,12,12,17
540,LIMCH1,1,3,,,40,40,43
539,NAA38,1,8,3,,,8,11
537,MROH2B,1,2,,1472,,1472,1474
536,PNPLA2,1,11,,,,11,11
534,LRIG3,1,2,,,,2,2
670,TYR,1,5,,194,,194,199
671,SNAI2,1,6,,,,6,6
672,GPR143,1,1,,,,1,1
677,HDAC10,1,8,,,2,8,10
429,NUB1,1,11,2,,3,11,16
425,ORC6,1,17,16,,9,17,42
421,NPLOC4,1,6,13,,5,13,24
411,ORC1,1,24,17,,10,24,51
398,UFD1,1,20,15,,7,20,42
397,ORC3,1,12,13,,7,13,32
388,ORC5,1,26,13,,7,26,46
382,CDC6,1,21,27,,8,27,56
381,UBD,1,10,1,,,10,11
376,CDT1,1,9,16,,18,18,43
1895,PHB1,1,42,6,,,42,48
