,Gene symbol,Nb of communities,degree PPI ntw,degree Pathways ntw,degree Coexp ntw,degree Complexes ntw,max degree,sum degrees
652,TFEB,2,,,,3,3,3
880,VPS54,2,13,12,,5,13,30
879,STX6,2,29,5,,25,29,59
651,PLK1,2,59,27,,6,59,92
877,AP1AR,2,3,,,10,10,13
650,NEK7,2,66,,,1,66,67
876,AP2B1,2,77,31,,20,77,128
695,CENPJ,2,14,1,,5,14,20
895,SYNRG,2,5,,,3,5,8
897,ZFAND5,2,4,,,2,4,6
661,EML2,2,12,,,4,12,16
911,IGF2R,2,13,11,,6,13,30
908,STX4,2,51,10,,6,51,67
907,AP2A1,2,10,33,,25,33,68
906,STX1B,2,28,1,,59,59,88
905,DNM2,2,168,23,,19,168,210
904,VPS50,2,2,,,5,5,7
903,STXBP5,2,2,,,24,24,26
660,MOGS,2,1,,,2,2,3
900,VAMP4,2,49,5,,23,49,77
899,SLC18A3,2,6,3,,,6,9
662,EDNRB,2,2,3,,,3,5
898,AP1G1,2,15,18,,11,18,44
663,TUBB2A,2,32,,,5,32,37
664,ECE2,2,6,1,,,6,7
665,XK,2,1,2,,,2,3
666,KLHDC10,2,2,,,2,2,4
667,KITLG,2,3,28,,1,28,32
668,FLT3LG,2,5,23,,,23,28
669,PYCR1,2,10,,,1,10,11
680,PPARA,2,59,6,,,59,65
681,PAX3,2,12,1,,7,12,20
687,FABP1,2,4,4,149,,149,157
648,NEK6,2,118,2,,1,118,121
659,EML4,2,2,2,,7,7,11
873,STX7,2,46,,,26,46,72
643,NEK9,2,7,5,,6,7,18
859,AGFG1,2,10,1,,4,10,15
855,MLF1,2,62,,844,1,844,907
862,STAMBP,2,35,1,,10,35,46
639,EDN2,2,,2,,,2,2
844,LMNB2,2,37,,,8,37,45
640,CD2AP,2,19,7,,11,19,37
854,GOSR1,2,2,9,,23,23,34
638,KEL,2,11,2,5,,11,18
856,VTI1B,2,34,,,23,34,57
641,EDNRA,2,4,3,,1,4,8
865,PICALM,2,12,3,,13,13,28
642,MITF,2,11,2,,3,11,16
851,VAMP7,2,3,3,,2,3,8
857,VTI1A,2,2,16,,23,23,41
869,GOSR2,2,51,14,,23,51,88
645,EDN3,2,,4,,,4,4
853,AP1B1,2,38,18,,8,38,64
870,VPS52,2,107,12,,5,107,124
646,EML3,2,2,,,2,2,4
647,CLGN,2,3,,856,2,856,861
644,TFE3,2,2,,,3,3,5
1644,S1PR5,1,4,,,12,12,16
842,SC5D,1,,,251,4,251,255
1643,TRMT10C,1,2,2,,5,5,9
1642,ARHGDIG,1,10,4,,4,10,18
1641,USP3,1,,,,3,3,3
1622,NT5E,1,3,,,3,3,6
1645,PRORP,1,,2,,10,10,12
1640,HSD17B10,1,181,2,244,5,244,432
843,AGPAT3,1,18,,,7,18,25
223,CFP,1,37,3,,,37,40
1639,PEX19,1,36,5,,14,36,55
1621,ZFP36,1,24,3,,3,24,30
1638,AGO3,1,5,4,,1,5,10
1637,SLC27A2,1,1,,213,,213,214
1620,GANC,1,,,,4,4,4
1627,TMEM143,1,15,,226,8,226,249
1623,AGO2,1,15,15,,10,15,40
1632,ARHGDIA,1,33,14,,11,33,58
1628,TNRC6B,1,6,5,,,6,11
1629,ABCD1,1,6,4,,5,6,15
1625,SLC6A8,1,2,,,3,3,5
1630,TARBP2,1,24,2,,6,24,32
1624,TNRC6A,1,9,5,,,9,14
1631,DICER1,1,8,3,,28,28,39
1633,PEX3,1,3,5,,,5,8
1626,PTDSS1,1,2,,,4,4,6
849,IRS1,1,20,31,,3,31,54
848,IGF1R,1,64,7,,8,64,79
1634,ELOVL2,1,4,,171,5,171,180
847,INSR,1,33,5,,9,33,47
1635,SLC39A4,1,1,,64,8,64,73
1636,GOLM1,1,77,,,8,77,85
215,ELANE,1,3,1,160,1,160,165
1650,PEX16,1,27,2,,5,27,34
1646,AGO1,1,6,8,,4,8,18
838,KNG1,1,3,6,490,,490,499
837,GPR89A,1,,,,9,9,9
1668,CSTA,1,9,,97,,97,106
231,PRDX4,1,26,,,,26,26
836,GP5,1,,11,,,11,11
1671,JAG1,1,6,5,,,6,11
909,GCC2,1,5,12,,1,12,18
1673,NOTCH4,1,3,13,,,13,16
1493,GNE,1,65,,211,2,211,278
912,SYT9,1,5,1,,,5,6
1676,PRAG1,1,4,,,4,4,8
1677,ABL2,1,33,8,,14,33,55
1678,GORAB,1,60,,,3,60,63
1679,CLEC4G,1,28,1,264,,264,293
