Representing term id	Representing term name	Representing term rank	93932 term id	93932 term name	93932 term rank	920 term id	920 term name	920 term rank	909 term id	909 term name	909 term rank	904 term id	904 term name	904 term rank	90348 term id	90348 term name	90348 term rank	90324 term id	90324 term name	90324 term rank	90322 term id	90322 term name	90322 term rank	90321 term id	90321 term name	90321 term rank	902 term id	902 term name	902 term rank	90154 term id	90154 term name	90154 term rank	90153 term id	90153 term name	90153 term rank	897 term id	897 term name	897 term rank	895 term id	895 term name	895 term rank	894 term id	894 term name	894 term rank	808 term id	808 term name	808 term rank	79477 term id	79477 term name	79477 term rank	79476 term id	79476 term name	79476 term rank	79474 term id	79474 term name	79474 term rank	79333 term id	79333 term name	79333 term rank	79325 term id	79325 term name	79325 term rank	79087 term id	79087 term name	79087 term rank	769 term id	769 term name	769 term rank	758 term id	758 term name	758 term rank	75496 term id	75496 term name	75496 term rank	740 term id	740 term name	740 term rank	633 term id	633 term name	633 term rank	500 term id	500 term name	500 term rank	498359 term id	498359 term name	498359 term rank	487825 term id	487825 term name	487825 term rank	477 term id	477 term name	477 term rank	435628 term id	435628 term name	435628 term rank	412057 term id	412057 term name	412057 term rank	363618 term id	363618 term name	363618 term rank	357074 term id	357074 term name	357074 term rank	3455 term id	3455 term name	3455 term rank	3437 term id	3437 term name	3437 term rank	33445 term id	33445 term name	33445 term rank	33364 term id	33364 term name	33364 term rank	3322 term id	3322 term name	3322 term rank	3163 term id	3163 term name	3163 term rank	3051 term id	3051 term name	3051 term rank	2963 term id	2963 term name	2963 term rank	287 term id	287 term name	287 term rank	286 term id	286 term name	286 term rank	2834 term id	2834 term name	2834 term rank	280679 term id	280679 term name	280679 term rank	280365 term id	280365 term name	280365 term rank	2658 term id	2658 term name	2658 term rank	263534 term id	263534 term name	263534 term rank	263487 term id	263487 term name	263487 term rank	2500 term id	2500 term name	2500 term rank	220295 term id	220295 term name	220295 term rank	2078 term id	2078 term name	2078 term rank	2067 term id	2067 term name	2067 term rank	1942 term id	1942 term name	1942 term rank	1901 term id	1901 term name	1901 term rank	1860 term id	1860 term name	1860 term rank	1807 term id	1807 term name	1807 term rank	1775 term id	1775 term name	1775 term rank	163746 term id	163746 term name	163746 term rank	1387 term id	1387 term name	1387 term rank	137608 term id	137608 term name	137608 term rank	1340 term id	1340 term name	1340 term rank	1299 term id	1299 term name	1299 term rank	1297 term id	1297 term name	1297 term rank	101028 term id	101028 term name	101028 term rank	100 term id	100 term name	100 term rank
			GO:0002768	immune response-regulating cell surface receptor signaling pathway	77							GO:0002768	immune response-regulating cell surface receptor signaling pathway	156	GO:0002768	immune response-regulating cell surface receptor signaling pathway	230																			GO:0002768	immune response-regulating cell surface receptor signaling pathway	210	GO:0002768	immune response-regulating cell surface receptor signaling pathway	211																GO:0002768	immune response-regulating cell surface receptor signaling pathway	196				GO:0002768	immune response-regulating cell surface receptor signaling pathway	228	GO:0002768	immune response-regulating cell surface receptor signaling pathway	118										GO:0002768	immune response-regulating cell surface receptor signaling pathway	238	GO:0002768	immune response-regulating cell surface receptor signaling pathway	180	GO:0002768	immune response-regulating cell surface receptor signaling pathway	105				GO:0002768	immune response-regulating cell surface receptor signaling pathway	81													GO:0002768	immune response-regulating cell surface receptor signaling pathway	149	GO:0002768	immune response-regulating cell surface receptor signaling pathway	99										GO:0002768	immune response-regulating cell surface receptor signaling pathway	106				GO:0002768	immune response-regulating cell surface receptor signaling pathway	55	GO:0002768	immune response-regulating cell surface receptor signaling pathway	287	GO:0002768	immune response-regulating cell surface receptor signaling pathway	191				GO:0002768	immune response-regulating cell surface receptor signaling pathway	193										GO:0002768	immune response-regulating cell surface receptor signaling pathway	196	GO:0002768	immune response-regulating cell surface receptor signaling pathway	191				GO:0002768	immune response-regulating cell surface receptor signaling pathway	90							GO:0002768	immune response-regulating cell surface receptor signaling pathway	46	GO:0002768	immune response-regulating cell surface receptor signaling pathway	27																GO:0002768	immune response-regulating cell surface receptor signaling pathway	193												
			GO:0048010	vascular endothelial growth factor receptor signaling pathway	95				GO:0048010	vascular endothelial growth factor receptor signaling pathway	284	GO:0048010	vascular endothelial growth factor receptor signaling pathway	29	GO:0048010	vascular endothelial growth factor receptor signaling pathway	28																			GO:0048010	vascular endothelial growth factor receptor signaling pathway	85	GO:0048010	vascular endothelial growth factor receptor signaling pathway	87																			GO:0048010	vascular endothelial growth factor receptor signaling pathway	259	GO:0048010	vascular endothelial growth factor receptor signaling pathway	29	GO:0048010	vascular endothelial growth factor receptor signaling pathway	86													GO:0048010	vascular endothelial growth factor receptor signaling pathway	91	GO:0048010	vascular endothelial growth factor receptor signaling pathway	288				GO:0048010	vascular endothelial growth factor receptor signaling pathway	82													GO:0048010	vascular endothelial growth factor receptor signaling pathway	75													GO:0048010	vascular endothelial growth factor receptor signaling pathway	149				GO:0048010	vascular endothelial growth factor receptor signaling pathway	173	GO:0048010	vascular endothelial growth factor receptor signaling pathway	58	GO:0048010	vascular endothelial growth factor receptor signaling pathway	38																			GO:0048010	vascular endothelial growth factor receptor signaling pathway	38				GO:0048010	vascular endothelial growth factor receptor signaling pathway	238				GO:0048010	vascular endothelial growth factor receptor signaling pathway	236	GO:0048010	vascular endothelial growth factor receptor signaling pathway	159	GO:0048010	vascular endothelial growth factor receptor signaling pathway	217																GO:0048010	vascular endothelial growth factor receptor signaling pathway	98												
			GO:0019221	cytokine-mediated signaling pathway	585																																					GO:0019221	cytokine-mediated signaling pathway	770													GO:0019221	cytokine-mediated signaling pathway	29																			GO:0019221	cytokine-mediated signaling pathway	47							GO:0019221	cytokine-mediated signaling pathway	774	GO:0019221	cytokine-mediated signaling pathway	602																GO:0019221	cytokine-mediated signaling pathway	42																												GO:0019221	cytokine-mediated signaling pathway	31							GO:0019221	cytokine-mediated signaling pathway	816	GO:0019221	cytokine-mediated signaling pathway	29																																								GO:0019221	cytokine-mediated signaling pathway	765									
			GO:0002429	immune response-activating cell surface receptor signaling pathway	81							GO:0002429	immune response-activating cell surface receptor signaling pathway	173	GO:0002429	immune response-activating cell surface receptor signaling pathway	243																			GO:0002429	immune response-activating cell surface receptor signaling pathway	227	GO:0002429	immune response-activating cell surface receptor signaling pathway	231																GO:0002429	immune response-activating cell surface receptor signaling pathway	183				GO:0002429	immune response-activating cell surface receptor signaling pathway	247	GO:0002429	immune response-activating cell surface receptor signaling pathway	123										GO:0002429	immune response-activating cell surface receptor signaling pathway	227	GO:0002429	immune response-activating cell surface receptor signaling pathway	192	GO:0002429	immune response-activating cell surface receptor signaling pathway	117				GO:0002429	immune response-activating cell surface receptor signaling pathway	86													GO:0002429	immune response-activating cell surface receptor signaling pathway	157	GO:0002429	immune response-activating cell surface receptor signaling pathway	94										GO:0002429	immune response-activating cell surface receptor signaling pathway	114				GO:0002429	immune response-activating cell surface receptor signaling pathway	65	GO:0002429	immune response-activating cell surface receptor signaling pathway	265	GO:0002429	immune response-activating cell surface receptor signaling pathway	208				GO:0002429	immune response-activating cell surface receptor signaling pathway	183										GO:0002429	immune response-activating cell surface receptor signaling pathway	183	GO:0002429	immune response-activating cell surface receptor signaling pathway	208				GO:0002429	immune response-activating cell surface receptor signaling pathway	95							GO:0002429	immune response-activating cell surface receptor signaling pathway	51	GO:0002429	immune response-activating cell surface receptor signaling pathway	37																GO:0002429	immune response-activating cell surface receptor signaling pathway	205												
			GO:0038094	Fc-gamma receptor signaling pathway	223							GO:0038094	Fc-gamma receptor signaling pathway	116	GO:0038094	Fc-gamma receptor signaling pathway	211																			GO:0038094	Fc-gamma receptor signaling pathway	188	GO:0038094	Fc-gamma receptor signaling pathway	172																						GO:0038094	Fc-gamma receptor signaling pathway	206	GO:0038094	Fc-gamma receptor signaling pathway	280													GO:0038094	Fc-gamma receptor signaling pathway	289	GO:0038094	Fc-gamma receptor signaling pathway	98				GO:0038094	Fc-gamma receptor signaling pathway	227													GO:0038094	Fc-gamma receptor signaling pathway	99													GO:0038094	Fc-gamma receptor signaling pathway	225				GO:0038094	Fc-gamma receptor signaling pathway	62	GO:0038094	Fc-gamma receptor signaling pathway	235	GO:0038094	Fc-gamma receptor signaling pathway	209																			GO:0038094	Fc-gamma receptor signaling pathway	209				GO:0038094	Fc-gamma receptor signaling pathway	233							GO:0038094	Fc-gamma receptor signaling pathway	123	GO:0038094	Fc-gamma receptor signaling pathway	39																GO:0038094	Fc-gamma receptor signaling pathway	289												
																														GO:0007224	smoothened signaling pathway	41																																																																																																																			GO:0007224	smoothened signaling pathway	295																																																						
			GO:0097191	extrinsic apoptotic signaling pathway	659																																		GO:0097191	extrinsic apoptotic signaling pathway	650																GO:0097191	extrinsic apoptotic signaling pathway	56							GO:0097191	extrinsic apoptotic signaling pathway	549										GO:0097191	extrinsic apoptotic signaling pathway	194	GO:0097191	extrinsic apoptotic signaling pathway	820							GO:0097191	extrinsic apoptotic signaling pathway	673																GO:0097191	extrinsic apoptotic signaling pathway	108																												GO:0097191	extrinsic apoptotic signaling pathway	44										GO:0097191	extrinsic apoptotic signaling pathway	56																GO:0097191	extrinsic apoptotic signaling pathway	505																			GO:0097191	extrinsic apoptotic signaling pathway	830												
																														GO:0008589	regulation of smoothened signaling pathway	48																																																																																																																			GO:0008589	regulation of smoothened signaling pathway	408																																																						
																																										GO:0007219	Notch signaling pathway	327																												GO:0007219	Notch signaling pathway	108													GO:0007219	Notch signaling pathway	333																																																										GO:0007219	Notch signaling pathway	59																															GO:0007219	Notch signaling pathway	324										GO:0007219	Notch signaling pathway	94									
			GO:0071526	semaphorin-plexin signaling pathway	461							GO:0071526	semaphorin-plexin signaling pathway	293	GO:0071526	semaphorin-plexin signaling pathway	370																			GO:0071526	semaphorin-plexin signaling pathway	221	GO:0071526	semaphorin-plexin signaling pathway	420																						GO:0071526	semaphorin-plexin signaling pathway	369	GO:0071526	semaphorin-plexin signaling pathway	438													GO:0071526	semaphorin-plexin signaling pathway	441							GO:0071526	semaphorin-plexin signaling pathway	374	GO:0071526	semaphorin-plexin signaling pathway	71																																		GO:0071526	semaphorin-plexin signaling pathway	332	GO:0071526	semaphorin-plexin signaling pathway	341																			GO:0071526	semaphorin-plexin signaling pathway	341																																		GO:0071526	semaphorin-plexin signaling pathway	447												
