Representing term id	Representing term name	Representing term rank	93932 term id	93932 term name	93932 term rank	920 term id	920 term name	920 term rank	909 term id	909 term name	909 term rank	904 term id	904 term name	904 term rank	90348 term id	90348 term name	90348 term rank	90324 term id	90324 term name	90324 term rank	90322 term id	90322 term name	90322 term rank	90321 term id	90321 term name	90321 term rank	902 term id	902 term name	902 term rank	90154 term id	90154 term name	90154 term rank	90153 term id	90153 term name	90153 term rank	897 term id	897 term name	897 term rank	895 term id	895 term name	895 term rank	894 term id	894 term name	894 term rank	808 term id	808 term name	808 term rank	79477 term id	79477 term name	79477 term rank	79476 term id	79476 term name	79476 term rank	79474 term id	79474 term name	79474 term rank	79333 term id	79333 term name	79333 term rank	79325 term id	79325 term name	79325 term rank	79087 term id	79087 term name	79087 term rank	769 term id	769 term name	769 term rank	758 term id	758 term name	758 term rank	75496 term id	75496 term name	75496 term rank	740 term id	740 term name	740 term rank	633 term id	633 term name	633 term rank	500 term id	500 term name	500 term rank	498359 term id	498359 term name	498359 term rank	487825 term id	487825 term name	487825 term rank	477 term id	477 term name	477 term rank	435628 term id	435628 term name	435628 term rank	412057 term id	412057 term name	412057 term rank	363618 term id	363618 term name	363618 term rank	357074 term id	357074 term name	357074 term rank	3455 term id	3455 term name	3455 term rank	3437 term id	3437 term name	3437 term rank	33445 term id	33445 term name	33445 term rank	33364 term id	33364 term name	33364 term rank	3322 term id	3322 term name	3322 term rank	3163 term id	3163 term name	3163 term rank	3051 term id	3051 term name	3051 term rank	2963 term id	2963 term name	2963 term rank	287 term id	287 term name	287 term rank	286 term id	286 term name	286 term rank	2834 term id	2834 term name	2834 term rank	280679 term id	280679 term name	280679 term rank	280365 term id	280365 term name	280365 term rank	2658 term id	2658 term name	2658 term rank	263534 term id	263534 term name	263534 term rank	263487 term id	263487 term name	263487 term rank	2500 term id	2500 term name	2500 term rank	220295 term id	220295 term name	220295 term rank	2078 term id	2078 term name	2078 term rank	2067 term id	2067 term name	2067 term rank	1942 term id	1942 term name	1942 term rank	1901 term id	1901 term name	1901 term rank	1860 term id	1860 term name	1860 term rank	1807 term id	1807 term name	1807 term rank	1775 term id	1775 term name	1775 term rank	163746 term id	163746 term name	163746 term rank	1387 term id	1387 term name	1387 term rank	137608 term id	137608 term name	137608 term rank	1340 term id	1340 term name	1340 term rank	1299 term id	1299 term name	1299 term rank	1297 term id	1297 term name	1297 term rank	101028 term id	101028 term name	101028 term rank	100 term id	100 term name	100 term rank
			GO:0032587	ruffle membrane	34				GO:0032587	ruffle membrane	56	GO:0032587	ruffle membrane	22	GO:0032587	ruffle membrane	26																			GO:0032587	ruffle membrane	18	GO:0032587	ruffle membrane	18																			GO:0032587	ruffle membrane	54	GO:0032587	ruffle membrane	27	GO:0032587	ruffle membrane	28													GO:0032587	ruffle membrane	23	GO:0032587	ruffle membrane	30				GO:0032587	ruffle membrane	34													GO:0032587	ruffle membrane	23													GO:0032587	ruffle membrane	20				GO:0032587	ruffle membrane	18	GO:0032587	ruffle membrane	31	GO:0032587	ruffle membrane	23																			GO:0032587	ruffle membrane	23				GO:0032587	ruffle membrane	21				GO:0032587	ruffle membrane	70	GO:0032587	ruffle membrane	18	GO:0032587	ruffle membrane	41																GO:0032587	ruffle membrane	23												
			GO:0098590	plasma membrane region	36							GO:0098590	plasma membrane region	49	GO:0098590	plasma membrane region	38																			GO:0098590	plasma membrane region	44	GO:0098590	plasma membrane region	43																						GO:0098590	plasma membrane region	37	GO:0098590	plasma membrane region	38	GO:0098590	plasma membrane region	70	GO:0098590	plasma membrane region	80							GO:0098590	plasma membrane region	34	GO:0098590	plasma membrane region	36				GO:0098590	plasma membrane region	35	GO:0098590	plasma membrane region	20	GO:0098590	plasma membrane region	44				GO:0098590	plasma membrane region	128	GO:0098590	plasma membrane region	45													GO:0098590	plasma membrane region	38				GO:0098590	plasma membrane region	42	GO:0098590	plasma membrane region	46	GO:0098590	plasma membrane region	41													GO:0098590	plasma membrane region	35				GO:0098590	plasma membrane region	41				GO:0098590	plasma membrane region	37	GO:0098590	plasma membrane region	76	GO:0098590	plasma membrane region	18	GO:0098590	plasma membrane region	76	GO:0098590	plasma membrane region	66										GO:0098590	plasma membrane region	81				GO:0098590	plasma membrane region	37	GO:0098590	plasma membrane region	90									
			GO:0002116	semaphorin receptor complex	47							GO:0002116	semaphorin receptor complex	33	GO:0002116	semaphorin receptor complex	41																			GO:0002116	semaphorin receptor complex	32	GO:0002116	semaphorin receptor complex	74																						GO:0002116	semaphorin receptor complex	43	GO:0002116	semaphorin receptor complex	47													GO:0002116	semaphorin receptor complex	48							GO:0002116	semaphorin receptor complex	48	GO:0002116	semaphorin receptor complex	21																																		GO:0002116	semaphorin receptor complex	39	GO:0002116	semaphorin receptor complex	40																			GO:0002116	semaphorin receptor complex	40																																		GO:0002116	semaphorin receptor complex	48												
			GO:0005604	basement membrane	125							GO:0005604	basement membrane	53	GO:0005604	basement membrane	62																			GO:0005604	basement membrane	121																									GO:0005604	basement membrane	62	GO:0005604	basement membrane	117													GO:0005604	basement membrane	130							GO:0005604	basement membrane	127													GO:0005604	basement membrane	52																						GO:0005604	basement membrane	21	GO:0005604	basement membrane	121																			GO:0005604	basement membrane	121										GO:0005604	basement membrane	152																						GO:0005604	basement membrane	133												
			GO:0031256	leading edge membrane	44				GO:0031256	leading edge membrane	69	GO:0031256	leading edge membrane	32	GO:0031256	leading edge membrane	34																			GO:0031256	leading edge membrane	28	GO:0031256	leading edge membrane	27																			GO:0031256	leading edge membrane	59	GO:0031256	leading edge membrane	33	GO:0031256	leading edge membrane	37													GO:0031256	leading edge membrane	27	GO:0031256	leading edge membrane	42				GO:0031256	leading edge membrane	45				GO:0031256	leading edge membrane	60							GO:0031256	leading edge membrane	37													GO:0031256	leading edge membrane	27				GO:0031256	leading edge membrane	26	GO:0031256	leading edge membrane	40	GO:0031256	leading edge membrane	35																			GO:0031256	leading edge membrane	35				GO:0031256	leading edge membrane	26				GO:0031256	leading edge membrane	68	GO:0031256	leading edge membrane	29	GO:0031256	leading edge membrane	63																GO:0031256	leading edge membrane	29												
																																																																																																																																	GO:0098643	banded collagen fibril	26	GO:0098643	banded collagen fibril	60																			GO:0098643	banded collagen fibril	60																																																
																																																																																																																																	GO:0005583	fibrillar collagen trimer	27	GO:0005583	fibrillar collagen trimer	61																			GO:0005583	fibrillar collagen trimer	61																																																
			GO:0044853	plasma membrane raft	68							GO:0044853	plasma membrane raft	71	GO:0044853	plasma membrane raft	57																			GO:0044853	plasma membrane raft	68	GO:0044853	plasma membrane raft	64																						GO:0044853	plasma membrane raft	57	GO:0044853	plasma membrane raft	30													GO:0044853	plasma membrane raft	46	GO:0044853	plasma membrane raft	94				GO:0044853	plasma membrane raft	67				GO:0044853	plasma membrane raft	36				GO:0044853	plasma membrane raft	113	GO:0044853	plasma membrane raft	78													GO:0044853	plasma membrane raft	79				GO:0044853	plasma membrane raft	75	GO:0044853	plasma membrane raft	91	GO:0044853	plasma membrane raft	83	GO:0044853	plasma membrane raft	108										GO:0044853	plasma membrane raft	41				GO:0044853	plasma membrane raft	83				GO:0044853	plasma membrane raft	77				GO:0044853	plasma membrane raft	127																						GO:0044853	plasma membrane raft	47	GO:0044853	plasma membrane raft	68									
			GO:0097060	synaptic membrane	62							GO:0097060	synaptic membrane	46	GO:0097060	synaptic membrane	52																			GO:0097060	synaptic membrane	64	GO:0097060	synaptic membrane	76																						GO:0097060	synaptic membrane	50	GO:0097060	synaptic membrane	79	GO:0097060	synaptic membrane	94										GO:0097060	synaptic membrane	77	GO:0097060	synaptic membrane	53				GO:0097060	synaptic membrane	62	GO:0097060	synaptic membrane	31										GO:0097060	synaptic membrane	75													GO:0097060	synaptic membrane	101							GO:0097060	synaptic membrane	69	GO:0097060	synaptic membrane	70													GO:0097060	synaptic membrane	61				GO:0097060	synaptic membrane	70				GO:0097060	synaptic membrane	99	GO:0097060	synaptic membrane	83	GO:0097060	synaptic membrane	121																						GO:0097060	synaptic membrane	86	GO:0097060	synaptic membrane	66									
			GO:0005938	cell cortex	118										GO:0005938	cell cortex	116																																														GO:0005938	cell cortex	116	GO:0005938	cell cortex	84													GO:0005938	cell cortex	87	GO:0005938	cell cortex	72				GO:0005938	cell cortex	122													GO:0005938	cell cortex	90													GO:0005938	cell cortex	34				GO:0005938	cell cortex	86				GO:0005938	cell cortex	115																			GO:0005938	cell cortex	115				GO:0005938	cell cortex	31				GO:0005938	cell cortex	154	GO:0005938	cell cortex	79																			GO:0005938	cell cortex	91	GO:0005938	cell cortex	111									
