Representative	Represented
GO:0051171	GO:2000758
GO:0051171	GO:0045861
GO:0051171	GO:0001933
GO:0051171	GO:2000756
GO:0051171	GO:0060261
GO:0051171	GO:0061647
GO:0051171	GO:2000144
GO:0051171	GO:0032968
GO:0051171	GO:2000059
GO:0051171	GO:0060923
GO:0051171	GO:0072203
GO:0051171	GO:1901983
GO:0051171	GO:0051567
GO:0051171	GO:0048505
GO:0051171	GO:0031061
GO:0051171	GO:0090311
GO:0051171	GO:0070932
GO:0051171	GO:0040034
GO:0051171	GO:0031063
GO:0051171	GO:0031062
GO:0006351	GO:0006351
GO:0006351	GO:0006366
GO:0006351	GO:0006352
GO:0006351	GO:0006367
GO:0006351	GO:0009299
GO:0006351	GO:0009303
GO:0006351	GO:0098781
GO:0006351	GO:0006383
GO:0006351	GO:0006354
GO:0006351	GO:0042789
GO:0006351	GO:0006368
GO:0006351	GO:0070897
GO:0006351	GO:0006360
GO:0007249	GO:0007249
GO:0007249	GO:0043122
GO:0007249	GO:0043123
GO:0007249	GO:0007252
GO:0007249	GO:0043124
GO:0007166	GO:0007166
GO:0007166	GO:0007167
GO:0007166	GO:0007169
GO:0007166	GO:0019221
GO:0007166	GO:0033209
GO:0007166	GO:0097191
GO:0007166	GO:0007229
GO:0007166	GO:0001959
GO:0007166	GO:0031663
GO:0007166	GO:2001236
GO:0007166	GO:0002429
GO:0007166	GO:0007219
GO:0007166	GO:0002768
GO:0007166	GO:0007178
GO:0007166	GO:0097192
GO:0007166	GO:0038034
GO:0007166	GO:0010803
GO:0007166	GO:0008625
GO:0007166	GO:0070498
GO:0007166	GO:0048010
GO:0007166	GO:0007179
GO:0007166	GO:0002220
GO:0007166	GO:0017015
GO:0007166	GO:0007173
GO:0007166	GO:1903844
GO:0007166	GO:0038084
GO:0007166	GO:0016055
GO:0007166	GO:0038127
GO:0007166	GO:0030111
GO:0007166	GO:0038093
GO:0007166	GO:1905114
GO:0007166	GO:0090092
GO:0007166	GO:0050851
GO:0007166	GO:2001237
GO:0007166	GO:0060337
GO:0007166	GO:0038065
GO:0007166	GO:0038094
GO:0007166	GO:0140888
GO:0007166	GO:0048013
GO:0007166	GO:0050852
GO:0007166	GO:0008286
GO:0007166	GO:0060828
GO:0007166	GO:0140895
GO:0007166	GO:2001238
GO:0007166	GO:0002752
GO:0007166	GO:0001961
GO:0007166	GO:0034142
GO:0007166	GO:0048008
GO:0007166	GO:0060070
GO:0007166	GO:0030509
GO:0007166	GO:1901099
GO:0007166	GO:2001240
GO:0007166	GO:0038063
GO:0007166	GO:0090100
GO:0007166	GO:1903846
GO:0007166	GO:0030511
GO:0007166	GO:0038096
GO:0007166	GO:2001239
GO:0007166	GO:0002433
GO:0007166	GO:0007224
GO:0007166	GO:0038092
GO:0007166	GO:0048009
GO:0007166	GO:0032924
GO:0007166	GO:0030510
GO:0007166	GO:0002431
GO:0007166	GO:0034143
GO:0007166	GO:0071526
GO:0007166	GO:0050856
GO:0007166	GO:0034145
GO:0007166	GO:1903265
GO:0007166	GO:0030177
GO:0007166	GO:2000463
GO:0007166	GO:0090101
GO:0007166	GO:1902285
GO:0007166	GO:0097398
GO:0007166	GO:0023035
GO:0007166	GO:0050862
GO:0007166	GO:0050854
GO:0007166	GO:0097396
GO:0007166	GO:0008589
GO:0007166	GO:0060338
GO:0007166	GO:0060340
GO:0007166	GO:0090090
GO:0007166	GO:1990840
GO:0007166	GO:1990858
GO:0007166	GO:0002223
GO:0007166	GO:0030947
GO:0007166	GO:0030512
GO:0007166	GO:0030178
GO:0007166	GO:1902287
GO:0007166	GO:0050853
GO:0007166	GO:0050857
GO:0007166	GO:0098815
GO:0007166	GO:0031664
GO:0007166	GO:0038095
GO:0007166	GO:0061314
GO:0007166	GO:0060395
GO:0007166	GO:0030513
GO:0007166	GO:0048012
GO:0007166	GO:0090263
GO:0007166	GO:0035791
GO:0007166	GO:0048011
GO:0007166	GO:0038179
GO:0007166	GO:0061311
GO:0007166	GO:0008593
GO:0007166	GO:0045879
GO:0007166	GO:0030514
GO:0016192	GO:0016192
GO:0016192	GO:0098876
GO:0016192	GO:0048193
GO:0016192	GO:0016197
GO:0016192	GO:0006892
GO:0016192	GO:0006897
GO:0016192	GO:0060627
GO:0016192	GO:0006906
GO:0016192	GO:0006887
GO:0016192	GO:0032456
GO:0016192	GO:0006904
GO:0016192	GO:0006893
GO:0016192	GO:0140029
GO:0016192	GO:0048278
GO:0016192	GO:0043001
GO:0016192	GO:0017157
GO:0016192	GO:0016079
GO:0016192	GO:0045055
GO:0016192	GO:0099003
GO:0016192	GO:0048791
GO:0016192	GO:0099504
GO:0016192	GO:0017156
GO:0016192	GO:0031629
GO:0016192	GO:0099500
GO:0016192	GO:0048499
GO:0016192	GO:0001845
GO:0016192	GO:0016082
GO:0016192	GO:0017158
GO:0016192	GO:0045921
GO:0016192	GO:0006909
GO:0016192	GO:0006898
GO:0016192	GO:0030100
GO:0016192	GO:0045807
GO:0016192	GO:0048259
GO:0016192	GO:0050764
GO:0016192	GO:0048260
GO:0016192	GO:0050766
GO:0016192	GO:0031623
GO:0016192	GO:2000641
GO:0016192	GO:0043328
GO:0080090	GO:0080090
GO:0080090	GO:0090218
GO:0080090	GO:0043552
GO:0080090	GO:0019216
GO:0080090	GO:0006109
GO:0080090	GO:0010906
GO:0080090	GO:0046890
GO:0080090	GO:0045834
GO:0080090	GO:0006111
GO:0080090	GO:0019217
GO:0080090	GO:0045913
GO:0080090	GO:0010907
GO:0080090	GO:0045722
GO:0080090	GO:0050810
GO:0080090	GO:0043255
GO:0080090	GO:0043470
GO:0097659	GO:0097659
GO:0016477	GO:0016477
GO:0016477	GO:0030334
GO:0016477	GO:0030335
GO:0016477	GO:0050900
GO:0016477	GO:0001667
GO:0016477	GO:0060326
GO:0016477	GO:0010631
GO:0016477	GO:0002685
GO:0016477	GO:0043542
GO:0016477	GO:0097529
GO:0016477	GO:0002687
GO:0016477	GO:0071674
